# FoldX/3qr7_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    20     49  0.000 |  6.643  4.744  2.317       2      5      8   1.004
    20     49  0.000 |  6.643  4.744  2.317       2      5      8   1.004
    20     49  0.000 |  6.643  4.744  2.317       2      5      8   1.004
    20     49  0.000 |  6.643  4.744  2.317       2      5      8   1.004
    20     49  0.000 |  6.643  4.744  2.317       2      5      8   1.004
    20     49  0.000 |  6.643  4.744  2.317       2      5      8   1.004
    20     49  0.000 |  6.643  4.744  2.317       2      5      8   1.004
    20     49  0.000 |  6.643  4.744  2.317       2      5      8   1.004
    20     49  0.000 |  6.643  4.744  2.317       2      5      8   1.004
    20     49  0.000 |  6.643  4.744  2.317       2      5      8   1.004
    20     49  0.000 |  6.643  4.744  2.317       2      5      8   1.004
    20     49  0.000 |  6.643  4.744  2.317       2      5      8   1.004
    20     49  0.000 |  6.643  4.744  2.317       2      5      8   1.004
    20     49  0.000 |  6.643  4.744  2.317       2      5      8   1.004
    20     49  0.000 |  6.643  4.744  2.317       2      5      8   1.004
    20     49  0.000 |  6.643  4.744  2.317       2      5      8   1.004
    20     49  0.000 |  6.643  4.744  2.317       2      5      8   1.004
    20     49  0.000 |  6.643  4.744  2.317       2      5      8   1.004
    20     49  0.000 |  6.643  4.744  2.317       2      5      8   1.004
    20     49  0.000 |  6.643  4.744  2.317       2      5      8   1.004
    20     49  0.000 |  6.643  4.744  2.317       2      5      8   1.004
#
