# FoldX/3vii_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   197    323  0.000 |  2.969  1.948  1.176      25     82    130   0.964
   197    323  0.000 |  2.969  1.948  1.176      25     82    130   0.964
   197    323  0.000 |  2.969  1.948  1.176      25     82    130   0.964
   197    323  0.000 |  2.969  1.948  1.176      25     82    130   0.964
   197    323  0.000 |  2.969  1.948  1.176      25     82    130   0.964
   197    323  0.000 |  2.969  1.948  1.176      25     82    130   0.964
   197    323  0.000 |  2.969  1.948  1.176      25     82    130   0.964
   197    323  0.000 |  2.969  1.948  1.176      25     82    130   0.964
   197    323  0.000 |  2.969  1.948  1.176      25     82    130   0.964
   197    323  0.000 |  2.969  1.948  1.176      25     82    130   0.964
   197    323  0.000 |  2.969  1.948  1.176      25     82    130   0.964
   197    323  0.000 |  2.969  1.948  1.176      25     82    130   0.964
   197    323  0.000 |  2.969  1.948  1.176      25     82    130   0.964
   197    323  0.000 |  2.969  1.948  1.176      25     82    130   0.964
   197    323  0.000 |  2.969  1.948  1.176      25     82    130   0.964
   197    323  0.000 |  2.969  1.948  1.176      25     82    130   0.964
   197    323  0.000 |  2.969  1.948  1.176      25     82    130   0.964
   197    323  0.000 |  2.969  1.948  1.176      25     82    130   0.964
   197    323  0.000 |  2.969  1.948  1.176      25     82    130   0.964
   197    323  0.000 |  2.969  1.948  1.176      25     82    130   0.964
   197    323  0.000 |  2.969  1.948  1.176      25     82    130   0.964
#
