# FoldX/3vor_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    75    134  0.000 |  2.822  2.021  1.349      11     28     41   1.001
    75    134  0.000 |  2.822  2.021  1.349      11     28     41   1.001
    75    134  0.000 |  2.822  2.021  1.349      11     28     41   1.001
    75    134  0.000 |  2.822  2.021  1.349      11     28     41   1.001
    75    134  0.000 |  2.822  2.021  1.349      11     28     41   1.001
    75    134  0.000 |  2.822  2.021  1.349      11     28     41   1.001
    75    134  0.000 |  2.822  2.021  1.349      11     28     41   1.001
    75    134  0.000 |  2.822  2.021  1.349      11     28     41   1.001
    75    134  0.000 |  2.822  2.021  1.349      11     28     41   1.001
    75    134  0.000 |  2.822  2.021  1.349      11     28     41   1.001
    75    134  0.000 |  2.822  2.021  1.349      11     28     41   1.001
    75    134  0.000 |  2.822  2.021  1.349      11     28     41   1.001
    75    134  0.000 |  2.822  2.021  1.349      11     28     41   1.001
    75    134  0.000 |  2.822  2.021  1.349      11     28     41   1.001
    75    134  0.000 |  2.822  2.021  1.349      11     28     41   1.001
    75    134  0.000 |  2.822  2.021  1.349      11     28     41   1.001
    75    134  0.000 |  2.822  2.021  1.349      11     28     41   1.001
    75    134  0.000 |  2.822  2.021  1.349      11     28     41   1.001
    75    134  0.000 |  2.822  2.021  1.349      11     28     41   1.001
    75    134  0.000 |  2.822  2.021  1.349      11     28     41   1.001
    75    134  0.000 |  2.822  2.021  1.349      11     28     41   1.001
#
