# FoldX/3wdn_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    37     93  0.000 |  2.189  1.650  1.052       4     18     26   0.955
    37     93  0.000 |  2.189  1.650  1.052       4     18     26   0.955
    37     93  0.000 |  2.189  1.650  1.052       4     18     26   0.955
    37     93  0.000 |  2.189  1.650  1.052       4     18     26   0.955
    37     93  0.000 |  2.189  1.650  1.052       4     18     26   0.955
    37     93  0.000 |  2.189  1.650  1.052       4     18     26   0.955
    37     93  0.000 |  2.189  1.650  1.052       4     18     26   0.955
    37     93  0.000 |  2.189  1.650  1.052       4     18     26   0.955
    37     93  0.000 |  2.189  1.650  1.052       4     18     26   0.955
    37     93  0.000 |  2.189  1.650  1.052       4     18     26   0.955
    37     93  0.000 |  2.189  1.650  1.052       4     18     26   0.955
    37     93  0.000 |  2.189  1.650  1.052       4     18     26   0.955
    37     93  0.000 |  2.189  1.650  1.052       4     18     26   0.955
    37     93  0.000 |  2.189  1.650  1.052       4     18     26   0.955
    37     93  0.000 |  2.189  1.650  1.052       4     18     26   0.955
    37     93  0.000 |  2.189  1.650  1.052       4     18     26   0.955
    37     93  0.000 |  2.189  1.650  1.052       4     18     26   0.955
    37     93  0.000 |  2.189  1.650  1.052       4     18     26   0.955
    37     93  0.000 |  2.189  1.650  1.052       4     18     26   0.955
    37     93  0.000 |  2.189  1.650  1.052       4     18     26   0.955
    37     93  0.000 |  2.189  1.650  1.052       4     18     26   0.955
#
