# FoldX/3zuc_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    84    111  0.000 |  3.347  2.413  1.338       7     26     46   1.052
    84    111  0.000 |  3.347  2.413  1.338       7     26     46   1.052
    84    111  0.000 |  3.347  2.413  1.338       7     26     46   1.052
    84    111  0.000 |  3.347  2.413  1.338       7     26     46   1.052
    84    111  0.000 |  3.347  2.413  1.338       7     26     46   1.052
    84    111  0.000 |  3.347  2.413  1.338       7     26     46   1.052
    84    111  0.000 |  3.347  2.413  1.338       7     26     46   1.052
    84    111  0.000 |  3.347  2.413  1.338       7     26     46   1.052
    84    111  0.000 |  3.347  2.413  1.338       7     26     46   1.052
    84    111  0.000 |  3.347  2.413  1.338       7     26     46   1.052
    84    111  0.000 |  3.347  2.413  1.338       7     26     46   1.052
    84    111  0.000 |  3.347  2.413  1.338       7     26     46   1.052
    84    111  0.000 |  3.347  2.413  1.338       7     26     46   1.052
    84    111  0.000 |  3.347  2.413  1.338       7     26     46   1.052
    84    111  0.000 |  3.347  2.413  1.338       7     26     46   1.052
    84    111  0.000 |  3.347  2.413  1.338       7     26     46   1.052
    84    111  0.000 |  3.347  2.413  1.338       7     26     46   1.052
    84    111  0.000 |  3.347  2.413  1.338       7     26     46   1.052
    84    111  0.000 |  3.347  2.413  1.338       7     26     46   1.052
    84    111  0.000 |  3.347  2.413  1.338       7     26     46   1.052
    84    111  0.000 |  3.347  2.413  1.338       7     26     46   1.052
#
