# FoldX/4a7u_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    52    102  0.000 |  2.234  1.636  1.153       8     23     33   0.985
    52    102  0.000 |  2.234  1.636  1.153       8     23     33   0.985
    52    102  0.000 |  2.234  1.636  1.153       8     23     33   0.985
    52    102  0.000 |  2.234  1.636  1.153       8     23     33   0.985
    52    102  0.000 |  2.234  1.636  1.153       8     23     33   0.985
    52    102  0.000 |  2.234  1.636  1.153       8     23     33   0.985
    52    102  0.000 |  2.234  1.636  1.153       8     23     33   0.985
    52    102  0.000 |  2.234  1.636  1.153       8     23     33   0.985
    52    102  0.000 |  2.234  1.636  1.153       8     23     33   0.985
    52    102  0.000 |  2.234  1.636  1.153       8     23     33   0.985
    52    102  0.000 |  2.234  1.636  1.153       8     23     33   0.985
    52    102  0.000 |  2.234  1.636  1.153       8     23     33   0.985
    52    102  0.000 |  2.234  1.636  1.153       8     23     33   0.985
    52    102  0.000 |  2.234  1.636  1.153       8     23     33   0.985
    52    102  0.000 |  2.234  1.636  1.153       8     23     33   0.985
    52    102  0.000 |  2.234  1.636  1.153       8     23     33   0.985
    52    102  0.000 |  2.234  1.636  1.153       8     23     33   0.985
    52    102  0.000 |  2.234  1.636  1.153       8     23     33   0.985
    52    102  0.000 |  2.234  1.636  1.153       8     23     33   0.985
    52    102  0.000 |  2.234  1.636  1.153       8     23     33   0.985
    52    102  0.000 |  2.234  1.636  1.153       8     23     33   0.985
#
