# FoldX/4ce8_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    52     75  0.000 |  3.341  2.392  1.408       3     14     28   1.118
    52     75  0.000 |  3.341  2.392  1.408       3     14     28   1.118
    52     75  0.000 |  3.341  2.392  1.408       3     14     28   1.118
    52     75  0.000 |  3.341  2.392  1.408       3     14     28   1.118
    52     75  0.000 |  3.341  2.392  1.408       3     14     28   1.118
    52     75  0.000 |  3.341  2.392  1.408       3     14     28   1.118
    52     75  0.000 |  3.341  2.392  1.408       3     14     28   1.118
    52     75  0.000 |  3.341  2.392  1.408       3     14     28   1.118
    52     75  0.000 |  3.341  2.392  1.408       3     14     28   1.118
    52     75  0.000 |  3.341  2.392  1.408       3     14     28   1.118
    52     75  0.000 |  3.341  2.392  1.408       3     14     28   1.118
    52     75  0.000 |  3.341  2.392  1.408       3     14     28   1.118
    52     75  0.000 |  3.341  2.392  1.408       3     14     28   1.118
    52     75  0.000 |  3.341  2.392  1.408       3     14     28   1.118
    52     75  0.000 |  3.341  2.392  1.408       3     14     28   1.118
    52     75  0.000 |  3.341  2.392  1.408       3     14     28   1.118
    52     75  0.000 |  3.341  2.392  1.408       3     14     28   1.118
    52     75  0.000 |  3.341  2.392  1.408       3     14     28   1.118
    52     75  0.000 |  3.341  2.392  1.408       3     14     28   1.118
    52     75  0.000 |  3.341  2.392  1.408       3     14     28   1.118
    52     75  0.000 |  3.341  2.392  1.408       3     14     28   1.118
#
