# FoldX/4g9s_B.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    51     94  0.000 |  2.496  1.881  1.365       9     18     30   1.009
    51     94  0.000 |  2.496  1.881  1.365       9     18     30   1.009
    51     94  0.000 |  2.496  1.881  1.365       9     18     30   1.009
    51     94  0.000 |  2.496  1.881  1.365       9     18     30   1.009
    51     94  0.000 |  2.496  1.881  1.365       9     18     30   1.009
    51     94  0.000 |  2.496  1.881  1.365       9     18     30   1.009
    51     94  0.000 |  2.496  1.881  1.365       9     18     30   1.009
    51     94  0.000 |  2.496  1.881  1.365       9     18     30   1.009
    51     94  0.000 |  2.496  1.881  1.365       9     18     30   1.009
    51     94  0.000 |  2.496  1.881  1.365       9     18     30   1.009
    51     94  0.000 |  2.496  1.881  1.365       9     18     30   1.009
    51     94  0.000 |  2.496  1.881  1.365       9     18     30   1.009
    51     94  0.000 |  2.496  1.881  1.365       9     18     30   1.009
    51     94  0.000 |  2.496  1.881  1.365       9     18     30   1.009
    51     94  0.000 |  2.496  1.881  1.365       9     18     30   1.009
    51     94  0.000 |  2.496  1.881  1.365       9     18     30   1.009
    51     94  0.000 |  2.496  1.881  1.365       9     18     30   1.009
    51     94  0.000 |  2.496  1.881  1.365       9     18     30   1.009
    51     94  0.000 |  2.496  1.881  1.365       9     18     30   1.009
    51     94  0.000 |  2.496  1.881  1.365       9     18     30   1.009
    51     94  0.000 |  2.496  1.881  1.365       9     18     30   1.009
#
