# FoldX/4psy_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    69    110  0.000 |  3.277  2.384  1.467       6     19     37   1.061
    69    110  0.000 |  3.277  2.384  1.467       6     19     37   1.061
    69    110  0.000 |  3.277  2.384  1.467       6     19     37   1.061
    69    110  0.000 |  3.277  2.384  1.467       6     19     37   1.061
    69    110  0.000 |  3.277  2.384  1.467       6     19     37   1.061
    69    110  0.000 |  3.277  2.384  1.467       6     19     37   1.061
    69    110  0.000 |  3.277  2.384  1.467       6     19     37   1.061
    69    110  0.000 |  3.277  2.384  1.467       6     19     37   1.061
    69    110  0.000 |  3.277  2.384  1.467       6     19     37   1.061
    69    110  0.000 |  3.277  2.384  1.467       6     19     37   1.061
    69    110  0.000 |  3.277  2.384  1.467       6     19     37   1.061
    69    110  0.000 |  3.277  2.384  1.467       6     19     37   1.061
    69    110  0.000 |  3.277  2.384  1.467       6     19     37   1.061
    69    110  0.000 |  3.277  2.384  1.467       6     19     37   1.061
    69    110  0.000 |  3.277  2.384  1.467       6     19     37   1.061
    69    110  0.000 |  3.277  2.384  1.467       6     19     37   1.061
    69    110  0.000 |  3.277  2.384  1.467       6     19     37   1.061
    69    110  0.000 |  3.277  2.384  1.467       6     19     37   1.061
    69    110  0.000 |  3.277  2.384  1.467       6     19     37   1.061
    69    110  0.000 |  3.277  2.384  1.467       6     19     37   1.061
    69    110  0.000 |  3.277  2.384  1.467       6     19     37   1.061
#
