# FoldX/4wee_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    43    104  0.000 |  2.976  2.115  1.142       4     17     25   0.894
    43    104  0.000 |  2.976  2.115  1.142       4     17     25   0.894
    43    104  0.000 |  2.976  2.115  1.142       4     17     25   0.894
    43    104  0.000 |  2.976  2.115  1.142       4     17     25   0.894
    43    104  0.000 |  2.976  2.115  1.142       4     17     25   0.894
    43    104  0.000 |  2.976  2.115  1.142       4     17     25   0.894
    43    104  0.000 |  2.976  2.115  1.142       4     17     25   0.894
    43    104  0.000 |  2.976  2.115  1.142       4     17     25   0.894
    43    104  0.000 |  2.976  2.115  1.142       4     17     25   0.894
    43    104  0.000 |  2.976  2.115  1.142       4     17     25   0.894
    43    104  0.000 |  2.976  2.115  1.142       4     17     25   0.894
    43    104  0.000 |  2.976  2.115  1.142       4     17     25   0.894
    43    104  0.000 |  2.976  2.115  1.142       4     17     25   0.894
    43    104  0.000 |  2.976  2.115  1.142       4     17     25   0.894
    43    104  0.000 |  2.976  2.115  1.142       4     17     25   0.894
    43    104  0.000 |  2.976  2.115  1.142       4     17     25   0.894
    43    104  0.000 |  2.976  2.115  1.142       4     17     25   0.894
    43    104  0.000 |  2.976  2.115  1.142       4     17     25   0.894
    43    104  0.000 |  2.976  2.115  1.142       4     17     25   0.894
    43    104  0.000 |  2.976  2.115  1.142       4     17     25   0.894
    43    104  0.000 |  2.976  2.115  1.142       4     17     25   0.894
#
