# wkgb/1gci_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    98      6 20.000 |  9.712  9.506 10.000       1      3      4   0.700
    98      9 19.000 |  9.553  9.216 10.000       3      6      7   0.617
    98     14 18.000 |  9.303  8.787 10.000       5     10     11   0.559
    98     23 17.000 |  8.883  8.158 10.000       6     12     16   0.663
    98     35 16.000 |  8.259  7.226 10.000      10     19     23   0.656
    98     55 15.000 |  7.125  5.769  6.190      14     25     31   0.702
    98     76 14.000 |  6.348  4.765  3.625      19     32     38   0.681
    98    106 13.000 |  6.313  4.042  1.960      22     38     47   0.693
    98    142 12.000 |  3.379  2.383  1.162      26     45     54   0.689
    98    193 11.000 |  2.853  1.951  0.858      28     51     61   0.680
    98    259 10.000 |  2.237  1.442  0.678      35     62     72   0.671
    98    333  9.000 |  1.843  1.201  0.652      35     66     78   0.679
    98    403  8.000 |  1.401  0.975  0.631      36     71     83   0.678
    98    512  7.000 |  1.052  0.802  0.627      37     76     87   0.662
    98    636  6.000 |  0.905  0.733  0.622      38     78     89   0.669
    98    789  5.000 |  0.853  0.712  0.622      38     78     91   0.671
    98    967  4.000 |  0.733  0.653  0.616      39     81     95   0.653
    98   1241  3.000 |  0.733  0.653  0.616      39     81     95   0.653
    98   1582  2.000 |  0.733  0.653  0.616      39     81     95   0.653
    98   1583  1.000 |  0.733  0.653  0.616      39     81     95   0.653
    98   1583  0.000 |  0.733  0.653  0.616      39     81     95   0.653
#
