# wkgb/1m40_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   116     23 20.000 |  9.051  8.417 10.000       7      9     12   0.949
   116     32 19.000 |  8.706  7.931 10.000       7     11     15   0.940
   116     41 18.000 |  8.338  7.334 10.000       9     17     22   0.868
   116     52 17.000 |  7.925  6.747 10.000      10     23     27   0.845
   116     65 16.000 |  7.700  6.382  9.132      12     27     31   0.787
   116     86 15.000 |  7.957  5.916  4.564      15     34     39   0.794
   116     98 14.000 |  8.775  5.956  3.003      17     37     42   0.767
   116    133 13.000 |  8.272  4.953  1.748      20     46     56   0.757
   116    165 12.000 |  5.220  3.091  1.095      23     54     68   0.775
   116    210 11.000 |  3.309  2.054  0.827      28     65     80   0.746
   116    259 10.000 |  2.587  1.679  0.812      29     67     84   0.760
   116    330  9.000 |  1.951  1.306  0.752      30     71     92   0.781
   116    402  8.000 |  1.694  1.153  0.733      32     75     96   0.768
   116    534  7.000 |  1.263  0.944  0.709      32     84    104   0.719
   116    661  6.000 |  1.034  0.843  0.699      32     86    107   0.721
   116    834  5.000 |  0.916  0.792  0.684      32     87    109   0.725
   116   1081  4.000 |  0.862  0.762  0.675      32     88    111   0.723
   116   1418  3.000 |  0.808  0.733  0.675      32     90    113   0.733
   116   1849  2.000 |  0.806  0.732  0.675      32     90    113   0.732
   116   1852  1.000 |  0.806  0.732  0.675      32     90    113   0.732
   116   1852  0.000 |  0.806  0.732  0.675      32     90    113   0.732
#
