# wkgb/1muw_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   118     43 20.000 |  8.482  7.584 10.000       9     17     22   0.757
   118     49 19.000 |  8.224  7.155 10.000      13     22     27   0.690
   118     67 18.000 |  7.917  6.560 10.000      16     29     34   0.668
   118     84 17.000 |  8.198  6.443  7.369      18     33     39   0.638
   118    103 16.000 |  9.887  6.811  5.500      22     41     47   0.611
   118    130 15.000 | 13.261  7.524  2.611      24     47     55   0.648
   118    164 14.000 |  7.843  4.468  1.374      25     52     61   0.677
   118    208 13.000 |  4.226  2.680  0.950      28     60     71   0.730
   118    261 12.000 |  3.557  2.255  0.869      30     64     78   0.715
   118    327 11.000 |  2.613  1.679  0.753      35     70     85   0.701
   118    390 10.000 |  2.185  1.386  0.717      39     76     93   0.687
   118    478  9.000 |  2.050  1.296  0.710      39     77     95   0.691
   118    623  8.000 |  1.697  1.122  0.702      39     80     99   0.695
   118    800  7.000 |  1.340  0.931  0.684      39     85    105   0.707
   118   1024  6.000 |  1.083  0.834  0.684      39     88    108   0.704
   118   1329  5.000 |  0.930  0.760  0.665      41     91    112   0.696
   118   1705  4.000 |  0.825  0.718  0.665      41     92    115   0.700
   118   2220  3.000 |  0.799  0.709  0.665      41     92    115   0.709
   118   2960  2.000 |  0.784  0.699  0.645      41     93    116   0.699
   118   2967  1.000 |  0.784  0.699  0.645      41     93    116   0.699
   118   2967  0.000 |  0.784  0.699  0.645      41     93    116   0.699
#
