# wkgb/1nki_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    44     11 20.000 |  8.803  8.013 10.000       6      7      7   0.437
    44     12 19.000 |  8.673  7.797 10.000       7      8      8   0.443
    44     13 18.000 |  8.679  7.802 10.000       7      8      8   0.443
    44     18 17.000 |  8.182  7.131 10.000       7      9     10   0.562
    44     26 16.000 |  7.571  6.264  7.543       8     10     11   0.788
    44     35 15.000 |  8.949  6.622  6.316       9     11     12   0.749
    44     43 14.000 | 11.563  7.298  3.994       9     13     15   0.777
    44     57 13.000 |  7.234  4.661  1.732      12     17     20   0.708
    44     70 12.000 |  5.454  3.506  1.202      14     21     24   0.650
    44     89 11.000 |  4.725  2.752  0.680      17     25     29   0.636
    44    109 10.000 |  3.994  2.315  0.663      18     27     30   0.611
    44    140  9.000 |  3.107  1.701  0.567      20     30     33   0.587
    44    180  8.000 |  2.357  1.401  0.567      20     31     34   0.595
    44    242  7.000 |  1.769  1.125  0.544      21     32     35   0.589
    44    338  6.000 |  1.392  0.893  0.507      22     34     38   0.597
    44    455  5.000 |  0.796  0.646  0.426      24     36     40   0.611
    44    620  4.000 |  0.740  0.619  0.426      24     37     41   0.619
    44    837  3.000 |  0.667  0.573  0.426      25     39     43   0.573
    44   1223  2.000 |  0.667  0.573  0.426      25     39     43   0.573
    44   1224  1.000 |  0.667  0.573  0.426      25     39     43   0.573
    44   1224  0.000 |  0.667  0.573  0.426      25     39     43   0.573
#
