# wkgb/1unq_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    44      9 20.000 |  8.950  8.194 10.000       1      5      7   0.775
    44     11 19.000 |  8.760  7.910 10.000       2      6      8   0.727
    44     11 18.000 |  8.760  7.910 10.000       2      6      8   0.727
    44     17 17.000 |  8.394  7.404 10.000       3      7     10   0.739
    44     21 16.000 |  7.859  6.615 10.000       5     10     13   0.663
    44     33 15.000 |  7.217  5.666  6.216       6     12     16   0.753
    44     45 14.000 | 10.685  6.782  4.311       7     13     17   0.731
    44     67 13.000 |  5.694  3.960  2.033       9     16     20   0.698
    44     78 12.000 |  4.401  3.050  1.276       9     18     23   0.713
    44    114 11.000 |  2.725  1.830  0.968      10     22     28   0.725
    44    139 10.000 |  2.009  1.343  0.762      12     26     34   0.733
    44    180  9.000 |  1.607  1.091  0.723      13     28     36   0.744
    44    221  8.000 |  1.390  1.028  0.723      13     28     36   0.744
    44    290  7.000 |  1.048  0.833  0.723      13     30     41   0.722
    44    388  6.000 |  0.921  0.767  0.678      14     31     42   0.714
    44    500  5.000 |  0.895  0.756  0.678      14     31     42   0.706
    44    655  4.000 |  0.798  0.713  0.678      14     32     43   0.713
    44    855  3.000 |  0.780  0.701  0.678      14     33     43   0.701
    44   1150  2.000 |  0.780  0.701  0.678      14     33     43   0.701
    44   1153  1.000 |  0.780  0.701  0.678      14     33     43   0.701
    44   1153  0.000 |  0.780  0.701  0.678      14     33     43   0.701
#
