# wkgb/1vyr_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   155     40 20.000 |  8.783  7.953 10.000      17     25     29   0.632
   155     50 19.000 |  8.458  7.479 10.000      18     29     33   0.703
   155     68 18.000 |  7.833  6.569 10.000      22     38     45   0.740
   155     86 17.000 |  7.275  5.884  7.219      24     41     50   0.739
   155    114 16.000 |  6.371  4.816  3.659      31     53     64   0.697
   155    139 15.000 |  6.316  4.509  3.041      33     58     70   0.684
   155    170 14.000 |  6.735  4.152  1.355      36     66     81   0.691
   155    208 13.000 |  4.764  2.949  1.062      42     75     90   0.678
   155    263 12.000 |  3.385  2.128  0.874      48     86    103   0.674
   155    318 11.000 |  2.864  1.799  0.807      51     93    111   0.668
   155    389 10.000 |  2.155  1.362  0.733      57    103    124   0.661
   155    483  9.000 |  1.860  1.191  0.687      59    105    128   0.674
   155    589  8.000 |  1.639  1.066  0.653      60    110    133   0.665
   155    728  7.000 |  1.323  0.889  0.638      62    115    142   0.685
   155    889  6.000 |  1.154  0.801  0.623      64    119    146   0.670
   155   1113  5.000 |  1.115  0.782  0.615      65    120    147   0.667
   155   1403  4.000 |  1.061  0.746  0.615      65    124    150   0.659
   155   1782  3.000 |  1.044  0.736  0.615      65    124    151   0.661
   155   2289  2.000 |  0.983  0.724  0.615      65    124    151   0.661
   155   2291  1.000 |  0.983  0.724  0.615      65    124    151   0.661
   155   2291  0.000 |  0.983  0.724  0.615      65    124    151   0.661
#
