# wkgb/2fwh_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    47      3 20.000 |  9.676  9.380 10.000       3      3      3   0.280
    47      5 19.000 |  9.457  9.000 10.000       3      4      4   0.599
    47      8 18.000 |  9.114  8.387 10.000       5      7      7   0.521
    47     15 17.000 |  8.331  7.216 10.000       6      9     10   0.740
    47     19 16.000 |  7.960  6.757 10.000       7     10     11   0.694
    47     28 15.000 |  7.093  5.613  6.643      10     13     15   0.738
    47     34 14.000 |  6.571  5.112  6.177      11     14     16   0.716
    47     42 13.000 |  6.742  4.871  3.888      12     17     19   0.710
    47     60 12.000 |  5.674  3.853  1.248      15     22     24   0.625
    47     85 11.000 |  3.759  2.502  0.862      17     26     28   0.632
    47    106 10.000 |  3.099  2.018  0.848      17     27     30   0.642
    47    137  9.000 |  2.486  1.515  0.699      18     29     36   0.665
    47    186  8.000 |  1.648  1.008  0.623      19     33     41   0.650
    47    230  7.000 |  1.249  0.850  0.560      19     35     43   0.645
    47    307  6.000 |  0.876  0.715  0.560      19     36     44   0.666
    47    402  5.000 |  0.728  0.637  0.552      20     38     46   0.637
    47    540  4.000 |  0.728  0.637  0.552      20     38     46   0.637
    47    714  3.000 |  0.728  0.637  0.552      20     38     46   0.637
    47    955  2.000 |  0.728  0.637  0.552      20     38     46   0.637
    47    956  1.000 |  0.728  0.637  0.552      20     38     46   0.637
    47    956  0.000 |  0.728  0.637  0.552      20     38     46   0.637
#
