# wkgb/2gud_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    43      7 20.000 |  9.226  8.646 10.000       3      4      6   0.710
    43      7 19.000 |  9.226  8.646 10.000       3      4      6   0.710
    43      9 18.000 |  9.052  8.382 10.000       3      5      7   0.714
    43     10 17.000 |  8.951  8.259 10.000       3      5      7   0.714
    43     16 16.000 |  8.825  8.060 10.000       3      5      7   0.714
    43     24 15.000 |  9.242  7.910 10.000       3      6      8   0.837
    43     35 14.000 | 10.690  7.930  6.702       4      8     11   0.865
    43     46 13.000 | 13.768  8.883  5.622       5      9     12   0.893
    43     69 12.000 |  9.661  6.062  3.952       6     11     16   0.891
    43     94 11.000 |  7.281  4.490  2.916       7     13     18   0.858
    43    119 10.000 |  4.453  3.025  1.474      10     17     22   0.772
    43    157  9.000 |  2.935  2.064  1.071      12     20     27   0.676
    43    211  8.000 |  2.276  1.459  0.696      15     26     33   0.636
    43    276  7.000 |  1.266  0.908  0.596      17     30     39   0.658
    43    359  6.000 |  1.135  0.842  0.596      17     31     40   0.665
    43    466  5.000 |  0.865  0.717  0.582      18     33     42   0.667
    43    596  4.000 |  0.808  0.696  0.582      18     33     42   0.696
    43    792  3.000 |  0.804  0.694  0.582      18     33     42   0.694
    43   1029  2.000 |  0.804  0.694  0.582      18     33     42   0.694
    43   1030  1.000 |  0.804  0.694  0.582      18     33     42   0.694
    43   1030  0.000 |  0.804  0.694  0.582      18     33     42   0.694
#
