# wkgb/2h5c_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    70     13 20.000 |  9.122  8.478 10.000       4      8     10   0.766
    70     23 19.000 |  8.477  7.568 10.000       5     10     13   0.734
    70     27 18.000 |  8.323  7.385 10.000       5     10     13   0.734
    70     31 17.000 |  8.002  6.931 10.000       6     11     15   0.742
    70     40 16.000 |  7.423  6.123  8.206       9     15     20   0.760
    70     49 15.000 |  6.914  5.523  6.161       9     17     22   0.747
    70     64 14.000 |  8.587  5.485  3.031      12     22     28   0.712
    70     84 13.000 |  7.092  4.386  1.985      15     27     33   0.665
    70    109 12.000 |  4.434  2.880  1.220      18     32     38   0.713
    70    140 11.000 |  3.292  2.159  0.948      20     36     41   0.738
    70    179 10.000 |  2.632  1.728  0.905      20     37     45   0.782
    70    226  9.000 |  1.884  1.242  0.634      22     43     53   0.762
    70    286  8.000 |  1.677  1.112  0.620      23     45     56   0.761
    70    382  7.000 |  1.505  0.971  0.605      25     48     62   0.728
    70    492  6.000 |  1.345  0.883  0.590      25     50     64   0.735
    70    608  5.000 |  0.880  0.761  0.590      25     50     65   0.743
    70    766  4.000 |  0.866  0.753  0.590      25     50     66   0.735
    70    967  3.000 |  0.844  0.738  0.590      25     51     67   0.720
    70   1250  2.000 |  0.819  0.725  0.590      25     51     68   0.725
    70   1250  1.000 |  0.819  0.725  0.590      25     51     68   0.725
    70   1250  0.000 |  0.819  0.725  0.590      25     51     68   0.725
#
