# wkgb/2vha_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    88     40 20.000 |  8.353  7.200 10.000      10     19     23   0.660
    88     52 19.000 |  8.151  6.710  9.917      12     22     28   0.710
    88     57 18.000 |  8.091  6.376  8.029      14     26     32   0.702
    88     64 17.000 |  8.256  6.399  7.511      15     27     33   0.691
    88     86 16.000 |  9.005  5.942  2.235      21     33     41   0.697
    88    108 15.000 |  6.993  4.530  1.266      24     37     46   0.676
    88    125 14.000 |  5.255  3.462  1.188      25     39     49   0.688
    88    149 13.000 |  4.438  2.926  1.068      28     42     53   0.697
    88    182 12.000 |  3.158  2.017  0.831      30     50     62   0.661
    88    221 11.000 |  2.529  1.552  0.698      33     55     68   0.672
    88    276 10.000 |  1.909  1.196  0.645      35     57     73   0.677
    88    370  9.000 |  1.606  1.047  0.607      36     58     77   0.671
    88    463  8.000 |  1.201  0.870  0.590      37     61     80   0.663
    88    574  7.000 |  0.904  0.720  0.528      39     65     85   0.647
    88    722  6.000 |  0.780  0.670  0.528      39     67     87   0.650
    88    894  5.000 |  0.738  0.649  0.528      39     68     88   0.649
    88   1144  4.000 |  0.738  0.649  0.528      39     68     88   0.649
    88   1477  3.000 |  0.730  0.643  0.528      39     69     88   0.643
    88   1949  2.000 |  0.730  0.643  0.528      39     69     88   0.643
    88   1952  1.000 |  0.730  0.643  0.528      39     69     88   0.643
    88   1952  0.000 |  0.730  0.643  0.528      39     69     88   0.643
#
