# wkgb/2xu3_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   102     20 20.000 |  9.100  8.509 10.000       3      7     13   0.922
   102     23 19.000 |  8.961  8.312 10.000       3      8     14   0.902
   102     29 18.000 |  8.783  8.017 10.000       4     11     17   0.857
   102     47 17.000 |  8.038  6.942 10.000       6     17     24   0.805
   102     54 16.000 |  7.775  6.590 10.000       7     19     26   0.795
   102     71 15.000 |  7.201  5.772  6.517      11     25     33   0.772
   102     93 14.000 |  6.936  4.929  2.825      13     34     44   0.748
   102    116 13.000 |  5.874  3.769  1.358      16     40     54   0.792
   102    142 12.000 |  4.773  3.056  1.130      16     44     58   0.779
   102    174 11.000 |  3.477  2.306  1.040      18     48     64   0.782
   102    228 10.000 |  2.753  1.804  0.884      23     56     73   0.744
   102    284  9.000 |  2.315  1.549  0.828      24     59     76   0.750
   102    358  8.000 |  1.629  1.143  0.720      29     66     83   0.741
   102    446  7.000 |  1.335  0.966  0.665      31     70     88   0.732
   102    573  6.000 |  1.126  0.870  0.651      31     72     92   0.741
   102    731  5.000 |  1.033  0.825  0.651      31     74     94   0.744
   102    913  4.000 |  1.029  0.824  0.651      31     74     94   0.744
   102   1185  3.000 |  0.944  0.795  0.651      31     75     94   0.752
   102   1584  2.000 |  0.893  0.777  0.651      31     75     95   0.748
   102   1589  1.000 |  0.893  0.777  0.651      31     75     95   0.748
   102   1589  0.000 |  0.893  0.777  0.651      31     75     95   0.748
#
