# wkgb/3e4g_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    86      8 20.000 |  9.546  9.194 10.000       4      5      6   0.728
    86     11 19.000 |  9.362  8.869 10.000       6      7      9   0.716
    86     17 18.000 |  9.042  8.402 10.000       7      9     11   0.688
    86     23 17.000 |  8.665  7.793 10.000       8     13     15   0.794
    86     31 16.000 |  8.256  7.238 10.000       8     16     18   0.794
    86     44 15.000 |  7.568  6.277  9.880      12     21     24   0.754
    86     57 14.000 |  7.334  5.911  7.136      13     22     25   0.736
    86     79 13.000 |  6.884  4.894  2.910      15     31     35   0.737
    86    101 12.000 |  5.330  3.595  1.504      19     38     43   0.769
    86    124 11.000 |  4.171  2.746  0.994      21     43     48   0.750
    86    159 10.000 |  3.235  2.112  0.814      25     50     56   0.715
    86    208  9.000 |  2.514  1.605  0.733      27     55     62   0.712
    86    261  8.000 |  2.029  1.336  0.720      28     56     66   0.723
    86    355  7.000 |  1.502  0.989  0.650      30     65     74   0.668
    86    470  6.000 |  1.220  0.828  0.632      31     68     78   0.681
    86    602  5.000 |  0.838  0.705  0.620      32     69     81   0.662
    86    771  4.000 |  0.814  0.698  0.620      32     69     81   0.662
    86   1019  3.000 |  0.780  0.680  0.620      32     70     82   0.664
    86   1408  2.000 |  0.780  0.680  0.620      32     70     82   0.664
    86   1410  1.000 |  0.780  0.680  0.620      32     70     82   0.664
    86   1410  0.000 |  0.780  0.680  0.620      32     70     82   0.664
#
