# wkgb/3eo6_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    36      5 20.000 |  9.286  8.706 10.000       4      4      4   0.681
    36      6 19.000 |  9.135  8.433 10.000       5      5      5   0.597
    36      8 18.000 |  8.842  7.973 10.000       6      6      6   0.550
    36     12 17.000 |  8.454  7.284 10.000       7      9      9   0.546
    36     16 16.000 |  7.987  6.595 10.000       8     11     11   0.537
    36     19 15.000 |  7.509  5.951 10.000       9     13     13   0.540
    36     28 14.000 |  8.100  5.832  4.314      10     14     14   0.532
    36     39 13.000 |  8.983  5.770  2.730      11     16     16   0.515
    36     53 12.000 |  6.124  4.005  1.356      12     18     18   0.517
    36     68 11.000 |  4.466  3.022  0.829      12     19     19   0.589
    36     92 10.000 |  3.547  2.242  0.692      14     22     22   0.511
    36    125  9.000 |  2.616  1.750  0.692      14     22     23   0.550
    36    162  8.000 |  2.076  1.432  0.667      15     23     24   0.653
    36    229  7.000 |  1.524  1.024  0.572      17     28     29   0.558
    36    303  6.000 |  1.036  0.738  0.508      18     31     32   0.547
    36    398  5.000 |  0.723  0.575  0.477      19     34     34   0.523
    36    534  4.000 |  0.597  0.516  0.471      20     35     35   0.516
    36    706  3.000 |  0.597  0.516  0.471      20     35     35   0.516
    36    935  2.000 |  0.597  0.516  0.471      20     35     35   0.516
    36    935  1.000 |  0.597  0.516  0.471      20     35     35   0.516
    36    935  0.000 |  0.597  0.516  0.471      20     35     35   0.516
#
