# wkgb/3kff_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    74      5 20.000 |  9.663  9.397 10.000       2      3      4   0.638
    74      8 19.000 |  9.454  9.034 10.000       2      5      6   0.813
    74     10 18.000 |  9.310  8.778 10.000       2      7      8   0.751
    74     15 17.000 |  8.978  8.267 10.000       3      8     11   0.802
    74     25 16.000 |  8.365  7.325 10.000       7     15     17   0.741
    74     40 15.000 |  7.292  5.859  7.772      10     20     25   0.774
    74     55 14.000 |  6.837  5.031  3.175      12     25     33   0.744
    74     70 13.000 |  7.713  4.851  1.494      12     29     37   0.783
    74     88 12.000 |  5.671  3.625  1.371      12     30     38   0.869
    74    112 11.000 |  4.285  2.688  1.124      15     34     42   0.836
    74    142 10.000 |  3.732  2.271  0.998      16     37     45   0.804
    74    184  9.000 |  2.748  1.755  0.984      17     38     46   0.846
    74    248  8.000 |  1.882  1.273  0.776      20     44     55   0.757
    74    319  7.000 |  1.196  0.922  0.701      20     50     62   0.760
    74    409  6.000 |  1.002  0.830  0.683      20     52     64   0.769
    74    538  5.000 |  0.876  0.749  0.666      22     57     69   0.717
    74    683  4.000 |  0.876  0.749  0.666      22     57     69   0.717
    74    895  3.000 |  0.814  0.722  0.666      22     58     71   0.722
    74   1185  2.000 |  0.814  0.722  0.666      22     58     71   0.722
    74   1186  1.000 |  0.814  0.722  0.666      22     58     71   0.722
    74   1186  0.000 |  0.814  0.722  0.666      22     58     71   0.722
#
