# wkgb/3soj_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    41      7 20.000 |  9.131  8.458 10.000       4      5      6   0.455
    41      8 19.000 |  8.996  8.223 10.000       5      6      7   0.440
    41     11 18.000 |  8.620  7.645 10.000       6      8      9   0.469
    41     18 17.000 |  8.073  6.927 10.000       7     10     11   0.464
    41     28 16.000 |  7.285  5.729  7.004       8     14     15   0.504
    41     36 15.000 |  7.973  5.528  2.979       9     17     18   0.589
    41     46 14.000 |  7.847  5.104  2.979      10     18     19   0.568
    41     57 13.000 |  5.838  3.861  1.348      10     19     21   0.602
    41     74 12.000 |  3.625  2.464  0.901      11     22     25   0.663
    41     99 11.000 |  2.579  1.673  0.815      12     24     29   0.717
    41    127 10.000 |  2.188  1.479  0.815      12     24     29   0.717
    41    154  9.000 |  1.918  1.339  0.815      12     24     30   0.733
    41    184  8.000 |  1.618  1.160  0.815      12     25     32   0.750
    41    247  7.000 |  1.041  0.824  0.651      14     29     37   0.720
    41    331  6.000 |  0.836  0.709  0.616      15     31     39   0.709
    41    425  5.000 |  0.836  0.709  0.616      15     31     39   0.709
    41    558  4.000 |  0.836  0.709  0.616      15     31     39   0.709
    41    722  3.000 |  0.822  0.699  0.616      15     31     39   0.699
    41    934  2.000 |  0.820  0.698  0.616      15     31     39   0.698
    41    934  1.000 |  0.820  0.698  0.616      15     31     39   0.698
    41    934  0.000 |  0.820  0.698  0.616      15     31     39   0.698
#
