# wkgb/4gnr_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   139     21 20.000 |  9.270  8.711 10.000       8     15     17   0.583
   139     29 19.000 |  9.020  8.357 10.000       9     17     19   0.582
   139     45 18.000 |  8.478  7.553 10.000      13     24     28   0.605
   139     62 17.000 |  7.909  6.747 10.000      17     31     37   0.615
   139     78 16.000 |  7.533  6.156  8.006      21     38     46   0.626
   139    109 15.000 |  6.937  5.112  4.611      26     49     60   0.658
   139    138 14.000 |  8.469  5.309  2.098      28     54     68   0.672
   139    176 13.000 |  4.960  3.175  1.069      35     66     81   0.663
   139    224 12.000 |  3.649  2.365  0.913      37     73     88   0.675
   139    268 11.000 |  2.947  1.919  0.813      39     77     94   0.710
   139    339 10.000 |  2.124  1.390  0.731      45     86    106   0.692
   139    439  9.000 |  1.707  1.144  0.704      48     92    114   0.680
   139    543  8.000 |  1.483  1.007  0.660      49     96    120   0.694
   139    697  7.000 |  1.078  0.810  0.633      51    100    130   0.714
   139    867  6.000 |  0.889  0.732  0.633      51    103    135   0.705
   139   1091  5.000 |  0.816  0.709  0.633      51    104    136   0.696
   139   1362  4.000 |  0.800  0.703  0.633      51    104    136   0.703
   139   1702  3.000 |  0.789  0.696  0.633      51    105    137   0.696
   139   2206  2.000 |  0.789  0.696  0.633      51    105    137   0.696
   139   2210  1.000 |  0.789  0.696  0.633      51    105    137   0.696
   139   2210  0.000 |  0.789  0.696  0.633      51    105    137   0.696
#
