# wkgb/4n1i_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   146     46 20.000 |  8.574  7.605 10.000      12     26     29   0.759
   146     56 19.000 |  8.227  7.065 10.000      14     30     37   0.755
   146     65 18.000 |  7.998  6.655 10.000      15     34     43   0.787
   146     76 17.000 |  7.593  6.099 10.000      18     40     50   0.788
   146     93 16.000 |  7.280  5.560  5.407      21     47     57   0.776
   146    122 15.000 |  7.287  4.951  1.760      27     59     69   0.740
   146    155 14.000 |  8.168  4.669  1.110      33     71     81   0.713
   146    182 13.000 |  5.168  3.089  0.936      37     76     88   0.717
   146    223 12.000 |  3.588  2.124  0.738      44     87    101   0.691
   146    293 11.000 |  2.437  1.481  0.669      49     97    112   0.677
   146    354 10.000 |  1.873  1.179  0.645      53    101    119   0.666
   146    435  9.000 |  1.537  1.005  0.611      54    107    127   0.657
   146    524  8.000 |  1.261  0.872  0.610      55    109    132   0.676
   146    644  7.000 |  1.089  0.787  0.597      57    112    135   0.677
   146    804  6.000 |  1.048  0.769  0.597      57    112    137   0.679
   146    983  5.000 |  0.810  0.691  0.584      59    115    141   0.666
   146   1217  4.000 |  0.774  0.677  0.584      59    115    142   0.677
   146   1517  3.000 |  0.759  0.667  0.576      60    116    143   0.667
   146   1961  2.000 |  0.755  0.665  0.576      60    116    143   0.665
   146   1964  1.000 |  0.755  0.665  0.576      60    116    143   0.665
   146   1964  0.000 |  0.755  0.665  0.576      60    116    143   0.665
#
