# wkgb/4nsv_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   122     36 20.000 |  8.607  7.699 10.000      11     23     24   0.564
   122     44 19.000 |  8.350  7.308 10.000      14     27     28   0.575
   122     48 18.000 |  8.177  7.043 10.000      16     29     30   0.555
   122     64 17.000 |  7.555  6.181  9.579      17     36     38   0.627
   122     80 16.000 |  6.846  5.230  5.367      24     46     49   0.592
   122    106 15.000 |  7.938  5.097  2.106      29     54     57   0.574
   122    123 14.000 | 11.443  6.147  1.021      30     61     65   0.607
   122    148 13.000 |  7.038  3.808  0.900      33     67     72   0.655
   122    196 12.000 |  3.461  1.998  0.698      37     77     82   0.626
   122    246 11.000 |  2.340  1.431  0.658      41     82     91   0.638
   122    302 10.000 |  1.601  1.075  0.620      44     89     98   0.636
   122    370  9.000 |  1.367  0.931  0.600      46     94    104   0.629
   122    470  8.000 |  1.220  0.828  0.577      50     98    109   0.620
   122    592  7.000 |  0.861  0.682  0.566      51    103    115   0.610
   122    724  6.000 |  0.734  0.631  0.560      52    104    118   0.616
   122    871  5.000 |  0.729  0.628  0.560      52    104    119   0.613
   122   1047  4.000 |  0.696  0.612  0.554      53    105    120   0.612
   122   1279  3.000 |  0.692  0.609  0.554      53    106    120   0.609
   122   1670  2.000 |  0.679  0.603  0.554      53    107    121   0.603
   122   1673  1.000 |  0.679  0.603  0.554      53    107    121   0.603
   122   1673  0.000 |  0.679  0.603  0.554      53    107    121   0.603
#
