# wkgb/4u9h_S.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   101     16 20.000 |  9.250  8.735 10.000       5      8     11   0.604
   101     24 19.000 |  8.965  8.298 10.000       6     10     14   0.622
   101     31 18.000 |  8.698  7.791 10.000      10     16     21   0.590
   101     40 17.000 |  8.403  7.335 10.000      13     19     24   0.605
   101     50 16.000 |  8.091  6.789 10.000      14     23     28   0.648
   101     70 15.000 |  7.496  5.862  6.288      18     29     35   0.630
   101     89 14.000 |  7.990  5.570  3.907      19     33     39   0.682
   101    114 13.000 |  8.169  5.172  2.145      21     37     44   0.693
   101    154 12.000 |  5.347  3.282  1.152      24     46     55   0.732
   101    203 11.000 |  2.919  1.838  0.833      31     58     67   0.707
   101    252 10.000 |  2.203  1.448  0.715      32     61     73   0.701
   101    310  9.000 |  1.838  1.226  0.701      32     66     78   0.715
   101    410  8.000 |  1.423  0.948  0.634      36     74     89   0.686
   101    528  7.000 |  0.999  0.772  0.615      37     79     95   0.669
   101    700  6.000 |  0.865  0.716  0.615      37     81     97   0.670
   101    874  5.000 |  0.776  0.680  0.615      37     82     98   0.680
   101   1123  4.000 |  0.773  0.679  0.615      37     82     98   0.679
   101   1450  3.000 |  0.747  0.663  0.615      37     83     99   0.663
   101   1887  2.000 |  0.747  0.663  0.615      37     83     99   0.663
   101   1890  1.000 |  0.747  0.663  0.615      37     83     99   0.663
   101   1890  0.000 |  0.747  0.663  0.615      37     83     99   0.663
#
