# GalaxyWater-CNN/1ga6_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   121    227 45.000 |  3.168  1.942  0.568      50     80     85   0.496
   121    316 42.500 |  2.115  1.210  0.508      56     94    101   0.521
   121    405 40.000 |  1.668  1.001  0.503      58     98    105   0.537
   121    514 37.500 |  1.179  0.748  0.503      59    104    113   0.566
   121    624 35.000 |  1.054  0.701  0.503      59    105    114   0.574
   121    745 32.500 |  0.935  0.663  0.503      59    107    115   0.561
   121    891 30.000 |  0.918  0.657  0.503      59    107    116   0.556
   121   1023 27.500 |  0.895  0.649  0.503      59    107    116   0.556
   121   1197 25.000 |  0.840  0.635  0.503      59    107    116   0.556
   121   1420 22.500 |  0.673  0.576  0.503      59    109    119   0.560
   121   1678 20.000 |  0.660  0.570  0.503      59    109    120   0.556
   121   1973 17.500 |  0.659  0.569  0.503      59    109    120   0.555
   121   2371 15.000 |  0.659  0.569  0.503      59    109    120   0.555
   121   2823 12.500 |  0.659  0.569  0.503      59    109    120   0.555
   121   3304 10.000 |  0.659  0.569  0.503      59    109    120   0.555
   121   3818  7.500 |  0.659  0.569  0.503      59    109    120   0.555
   121   4410  5.000 |  0.659  0.569  0.503      59    109    120   0.555
   121   5234  2.500 |  0.630  0.557  0.503      59    110    121   0.557
   121   6285  0.000 |  0.630  0.557  0.503      59    110    121   0.557
#
