# GalaxyWater-CNN/1m40_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   116    209 45.000 |  3.527  2.086  0.631      47     74     80   0.594
   116    290 42.500 |  2.410  1.370  0.585      50     85     91   0.611
   116    377 40.000 |  1.731  1.025  0.538      53     90     98   0.619
   116    461 37.500 |  1.178  0.786  0.525      54     94    106   0.634
   116    559 35.000 |  1.033  0.744  0.525      54     94    109   0.618
   116    662 32.500 |  0.814  0.657  0.523      54     97    113   0.613
   116    766 30.000 |  0.801  0.648  0.523      54     98    114   0.605
   116    893 27.500 |  0.679  0.603  0.515      55    100    116   0.603
   116   1037 25.000 |  0.679  0.603  0.515      55    100    116   0.603
   116   1221 22.500 |  0.675  0.601  0.515      55    100    116   0.601
   116   1437 20.000 |  0.675  0.601  0.515      55    100    116   0.601
   116   1725 17.500 |  0.675  0.601  0.515      55    100    116   0.601
   116   2052 15.000 |  0.673  0.600  0.515      55    100    116   0.600
   116   2446 12.500 |  0.673  0.600  0.515      55    100    116   0.600
   116   2840 10.000 |  0.673  0.600  0.515      55    100    116   0.600
   116   3281  7.500 |  0.673  0.600  0.515      55    100    116   0.600
   116   3786  5.000 |  0.673  0.600  0.515      55    100    116   0.600
   116   4471  2.500 |  0.673  0.600  0.515      55    100    116   0.600
   116   5359  0.000 |  0.673  0.600  0.515      55    100    116   0.600
#
