# GalaxyWater-CNN/1unq_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    44    110 45.000 |  2.942  1.853  0.612      16     28     31   0.578
    44    149 42.500 |  1.896  1.156  0.563      18     32     36   0.574
    44    193 40.000 |  1.162  0.830  0.550      18     34     39   0.570
    44    239 37.500 |  0.877  0.688  0.550      18     37     42   0.590
    44    288 35.000 |  0.779  0.644  0.550      18     38     43   0.598
    44    352 32.500 |  0.779  0.644  0.550      18     38     43   0.598
    44    417 30.000 |  0.697  0.613  0.550      18     38     44   0.613
    44    494 27.500 |  0.697  0.613  0.550      18     38     44   0.613
    44    575 25.000 |  0.697  0.613  0.550      18     38     44   0.613
    44    707 22.500 |  0.697  0.613  0.550      18     38     44   0.613
    44    843 20.000 |  0.697  0.613  0.550      18     38     44   0.613
    44   1007 17.500 |  0.697  0.613  0.550      18     38     44   0.613
    44   1228 15.000 |  0.697  0.613  0.550      18     38     44   0.613
    44   1459 12.500 |  0.697  0.613  0.550      18     38     44   0.613
    44   1720 10.000 |  0.697  0.613  0.550      18     38     44   0.613
    44   2009  7.500 |  0.697  0.613  0.550      18     38     44   0.613
    44   2345  5.000 |  0.697  0.613  0.550      18     38     44   0.613
    44   2799  2.500 |  0.697  0.613  0.550      18     38     44   0.613
    44   3388  0.000 |  0.697  0.613  0.550      18     38     44   0.613
#
