# GalaxyWater-CNN/2bf6_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   183    338 45.000 |  2.722  1.453  0.474      99    143    147   0.491
   183    441 42.500 |  1.891  1.055  0.465     102    151    156   0.490
   183    569 40.000 |  1.295  0.774  0.461     105    159    166   0.507
   183    686 37.500 |  1.096  0.698  0.461     105    161    168   0.525
   183    827 35.000 |  0.976  0.651  0.461     106    162    170   0.537
   183    981 32.500 |  0.757  0.579  0.461     106    164    176   0.542
   183   1140 30.000 |  0.731  0.573  0.461     106    164    176   0.542
   183   1358 27.500 |  0.647  0.546  0.461     106    166    178   0.546
   183   1608 25.000 |  0.628  0.537  0.461     107    167    179   0.537
   183   1875 22.500 |  0.616  0.532  0.461     107    168    181   0.532
   183   2220 20.000 |  0.616  0.532  0.461     107    168    181   0.532
   183   2634 17.500 |  0.616  0.532  0.461     107    168    181   0.532
   183   3143 15.000 |  0.613  0.530  0.461     107    168    181   0.530
   183   3734 12.500 |  0.613  0.530  0.461     107    168    181   0.530
   183   4382 10.000 |  0.613  0.530  0.461     107    168    181   0.530
   183   5123  7.500 |  0.613  0.530  0.461     107    168    181   0.530
   183   5894  5.000 |  0.613  0.530  0.461     107    168    181   0.530
   183   6935  2.500 |  0.613  0.530  0.461     107    168    181   0.530
   183   8260  0.000 |  0.613  0.530  0.461     107    168    181   0.530
#
