# GalaxyWater-CNN/2ddx_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   153    260 45.000 |  2.968  1.591  0.500      77    114    122   0.499
   153    360 42.500 |  1.847  0.985  0.456      84    127    136   0.500
   153    442 40.000 |  1.652  0.871  0.450      85    131    140   0.492
   153    531 37.500 |  1.441  0.795  0.450      86    132    141   0.491
   153    624 35.000 |  1.191  0.709  0.450      86    134    144   0.490
   153    734 32.500 |  0.935  0.620  0.437      88    136    146   0.506
   153    860 30.000 |  0.806  0.570  0.435      89    138    149   0.504
   153   1004 27.500 |  0.718  0.539  0.435      89    139    151   0.510
   153   1184 25.000 |  0.595  0.512  0.435      89    140    152   0.512
   153   1418 22.500 |  0.577  0.504  0.435      89    141    153   0.504
   153   1680 20.000 |  0.577  0.504  0.435      89    141    153   0.504
   153   1985 17.500 |  0.577  0.504  0.435      89    141    153   0.504
   153   2361 15.000 |  0.577  0.504  0.435      89    141    153   0.504
   153   2777 12.500 |  0.577  0.504  0.435      89    141    153   0.504
   153   3203 10.000 |  0.577  0.504  0.435      89    141    153   0.504
   153   3683  7.500 |  0.577  0.504  0.435      89    141    153   0.504
   153   4231  5.000 |  0.577  0.504  0.435      89    141    153   0.504
   153   4995  2.500 |  0.577  0.504  0.435      89    141    153   0.504
   153   5983  0.000 |  0.577  0.504  0.435      89    141    153   0.504
#
