# GalaxyWater-CNN/2fwh_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    47     90 45.000 |  3.195  2.041  0.673      16     28     30   0.500
    47    126 42.500 |  1.701  1.070  0.550      20     35     38   0.516
    47    184 40.000 |  1.222  0.776  0.512      22     40     43   0.531
    47    211 37.500 |  1.124  0.707  0.505      23     41     44   0.520
    47    250 35.000 |  1.087  0.700  0.505      23     41     44   0.520
    47    309 32.500 |  0.914  0.613  0.495      24     43     46   0.520
    47    371 30.000 |  0.914  0.613  0.495      24     43     46   0.520
    47    441 27.500 |  0.770  0.585  0.495      24     43     46   0.520
    47    525 25.000 |  0.607  0.540  0.495      24     43     47   0.540
    47    625 22.500 |  0.607  0.540  0.495      24     43     47   0.540
    47    749 20.000 |  0.587  0.530  0.495      24     44     47   0.530
    47    896 17.500 |  0.587  0.530  0.495      24     44     47   0.530
    47   1086 15.000 |  0.587  0.530  0.495      24     44     47   0.530
    47   1301 12.500 |  0.587  0.530  0.495      24     44     47   0.530
    47   1539 10.000 |  0.587  0.530  0.495      24     44     47   0.530
    47   1795  7.500 |  0.587  0.530  0.495      24     44     47   0.530
    47   2089  5.000 |  0.587  0.530  0.495      24     44     47   0.530
    47   2517  2.500 |  0.587  0.530  0.495      24     44     47   0.530
    47   3017  0.000 |  0.587  0.530  0.495      24     44     47   0.530
#
