# GalaxyWater-CNN/2gud_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    43     84 45.000 |  6.040  3.735  1.354      15     20     23   0.496
    43    126 42.500 |  3.913  2.377  0.556      18     24     28   0.493
    43    156 40.000 |  3.169  1.832  0.513      20     27     31   0.504
    43    197 37.500 |  2.576  1.581  0.513      20     28     32   0.511
    43    252 35.000 |  2.263  1.365  0.507      21     29     34   0.528
    43    305 32.500 |  1.915  1.110  0.466      24     32     37   0.518
    43    364 30.000 |  1.653  0.932  0.466      24     34     39   0.520
    43    450 27.500 |  1.481  0.885  0.466      24     34     39   0.520
    43    528 25.000 |  1.145  0.753  0.466      24     34     40   0.538
    43    624 22.500 |  0.812  0.626  0.466      24     34     41   0.569
    43    764 20.000 |  0.807  0.623  0.466      24     34     41   0.566
    43    909 17.500 |  0.802  0.620  0.466      24     34     42   0.563
    43   1119 15.000 |  0.668  0.567  0.466      24     35     43   0.567
    43   1354 12.500 |  0.668  0.567  0.466      24     35     43   0.567
    43   1626 10.000 |  0.668  0.567  0.466      24     35     43   0.567
    43   1920  7.500 |  0.668  0.567  0.466      24     35     43   0.567
    43   2263  5.000 |  0.668  0.567  0.466      24     35     43   0.567
    43   2692  2.500 |  0.668  0.567  0.466      24     35     43   0.567
    43   3256  0.000 |  0.668  0.567  0.466      24     35     43   0.567
#
