# GalaxyWater-CNN/2pvb_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    38     75 45.000 |  3.194  2.119  0.718      12     22     23   0.603
    38     99 42.500 |  2.707  1.688  0.651      12     26     27   0.559
    38    123 40.000 |  2.180  1.388  0.634      13     27     28   0.547
    38    157 37.500 |  1.953  1.267  0.634      13     27     28   0.582
    38    204 35.000 |  1.661  1.014  0.613      14     30     32   0.609
    38    258 32.500 |  1.260  0.773  0.589      16     32     34   0.623
    38    300 30.000 |  0.803  0.662  0.589      16     32     34   0.623
    38    371 27.500 |  0.751  0.627  0.562      16     33     35   0.588
    38    425 25.000 |  0.673  0.590  0.562      16     34     37   0.590
    38    514 22.500 |  0.673  0.590  0.562      16     34     37   0.590
    38    626 20.000 |  0.673  0.590  0.562      16     34     37   0.590
    38    753 17.500 |  0.673  0.590  0.562      16     34     37   0.590
    38    906 15.000 |  0.673  0.590  0.562      16     34     37   0.590
    38   1086 12.500 |  0.646  0.578  0.562      16     34     38   0.578
    38   1299 10.000 |  0.646  0.578  0.562      16     34     38   0.578
    38   1529  7.500 |  0.646  0.578  0.562      16     34     38   0.578
    38   1793  5.000 |  0.646  0.578  0.562      16     34     38   0.578
    38   2121  2.500 |  0.646  0.578  0.562      16     34     38   0.578
    38   2580  0.000 |  0.646  0.578  0.562      16     34     38   0.578
#
