# GalaxyWater-CNN/2rbk_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   102    186 45.000 |  2.595  1.468  0.548      48     74     81   0.551
   102    261 42.500 |  2.061  1.176  0.525      49     78     85   0.544
   102    330 40.000 |  1.612  0.931  0.499      51     83     90   0.540
   102    403 37.500 |  1.374  0.848  0.499      51     84     91   0.544
   102    481 35.000 |  1.167  0.761  0.499      51     85     93   0.549
   102    576 32.500 |  1.002  0.671  0.497      52     88     97   0.559
   102    697 30.000 |  0.919  0.644  0.497      52     88     97   0.570
   102    819 27.500 |  0.728  0.594  0.496      53     89     98   0.569
   102    941 25.000 |  0.728  0.594  0.496      53     89     98   0.569
   102   1118 22.500 |  0.644  0.562  0.496      53     90    101   0.562
   102   1354 20.000 |  0.644  0.562  0.496      53     90    101   0.562
   102   1603 17.500 |  0.631  0.556  0.496      53     91    102   0.556
   102   1946 15.000 |  0.631  0.556  0.496      53     91    102   0.556
   102   2331 12.500 |  0.631  0.556  0.496      53     91    102   0.556
   102   2787 10.000 |  0.631  0.556  0.496      53     91    102   0.556
   102   3193  7.500 |  0.631  0.556  0.496      53     91    102   0.556
   102   3718  5.000 |  0.631  0.556  0.496      53     91    102   0.556
   102   4381  2.500 |  0.631  0.556  0.496      53     91    102   0.556
   102   5185  0.000 |  0.631  0.556  0.496      53     91    102   0.556
#
