# GalaxyWater-CNN/2vha_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    88    208 45.000 |  2.244  1.144  0.434      51     73     75   0.478
    88    287 42.500 |  1.436  0.804  0.409      53     76     79   0.483
    88    366 40.000 |  0.700  0.528  0.400      56     81     86   0.473
    88    454 37.500 |  0.587  0.496  0.400      56     81     87   0.496
    88    537 35.000 |  0.587  0.496  0.400      56     81     87   0.496
    88    631 32.500 |  0.558  0.484  0.400      56     82     88   0.484
    88    749 30.000 |  0.558  0.484  0.400      56     82     88   0.484
    88    882 27.500 |  0.558  0.483  0.400      56     82     88   0.483
    88   1030 25.000 |  0.558  0.483  0.400      56     82     88   0.483
    88   1231 22.500 |  0.558  0.483  0.400      56     82     88   0.483
    88   1464 20.000 |  0.558  0.483  0.400      56     82     88   0.483
    88   1749 17.500 |  0.558  0.483  0.400      56     82     88   0.483
    88   2114 15.000 |  0.558  0.483  0.400      56     82     88   0.483
    88   2526 12.500 |  0.558  0.483  0.400      56     82     88   0.483
    88   3009 10.000 |  0.558  0.483  0.400      56     82     88   0.483
    88   3526  7.500 |  0.558  0.483  0.400      56     82     88   0.483
    88   4066  5.000 |  0.558  0.483  0.400      56     82     88   0.483
    88   4850  2.500 |  0.558  0.483  0.400      56     82     88   0.483
    88   5770  0.000 |  0.558  0.483  0.400      56     82     88   0.483
#
