# GalaxyWater-CNN/2xod_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    29     81 45.000 |  3.474  2.290  0.583      13     17     18   0.435
    29    118 42.500 |  2.512  1.575  0.513      13     18     22   0.558
    29    162 40.000 |  1.884  1.186  0.513      13     19     24   0.641
    29    199 37.500 |  1.546  1.027  0.513      13     19     25   0.670
    29    239 35.000 |  1.082  0.776  0.512      14     22     27   0.658
    29    286 32.500 |  1.082  0.776  0.512      14     22     27   0.658
    29    356 30.000 |  1.082  0.776  0.512      14     22     27   0.658
    29    423 27.500 |  1.082  0.776  0.512      14     22     27   0.658
    29    492 25.000 |  1.063  0.758  0.512      14     23     27   0.640
    29    589 22.500 |  0.763  0.649  0.512      14     24     28   0.649
    29    719 20.000 |  0.745  0.638  0.512      14     24     28   0.638
    29    869 17.500 |  0.745  0.638  0.512      14     24     28   0.638
    29   1051 15.000 |  0.745  0.638  0.512      14     24     28   0.638
    29   1283 12.500 |  0.742  0.636  0.512      14     24     28   0.636
    29   1492 10.000 |  0.742  0.636  0.512      14     24     28   0.636
    29   1717  7.500 |  0.742  0.636  0.512      14     24     28   0.636
    29   2027  5.000 |  0.742  0.636  0.512      14     24     28   0.636
    29   2424  2.500 |  0.742  0.636  0.512      14     24     28   0.636
    29   2894  0.000 |  0.742  0.636  0.512      14     24     28   0.636
#
