# GalaxyWater-CNN/3f1l_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    87    191 45.000 |  2.676  1.596  0.697      34     58     65   0.632
    87    275 42.500 |  1.941  1.125  0.654      36     65     73   0.640
    87    343 40.000 |  1.388  0.900  0.637      37     68     77   0.630
    87    437 37.500 |  1.051  0.736  0.571      39     74     82   0.609
    87    509 35.000 |  1.045  0.731  0.571      39     74     83   0.604
    87    611 32.500 |  0.937  0.702  0.571      39     74     83   0.604
    87    718 30.000 |  0.937  0.702  0.571      39     74     83   0.604
    87    875 27.500 |  0.849  0.669  0.571      39     75     84   0.608
    87   1026 25.000 |  0.812  0.651  0.571      39     76     85   0.612
    87   1201 22.500 |  0.764  0.640  0.571      39     76     85   0.612
    87   1441 20.000 |  0.693  0.611  0.571      39     77     86   0.611
    87   1676 17.500 |  0.693  0.611  0.571      39     77     86   0.611
    87   2023 15.000 |  0.684  0.607  0.571      39     77     87   0.607
    87   2419 12.500 |  0.684  0.607  0.571      39     77     87   0.607
    87   2823 10.000 |  0.684  0.607  0.571      39     77     87   0.607
    87   3285  7.500 |  0.684  0.607  0.571      39     77     87   0.607
    87   3774  5.000 |  0.684  0.607  0.571      39     77     87   0.607
    87   4487  2.500 |  0.684  0.607  0.571      39     77     87   0.607
    87   5338  0.000 |  0.684  0.607  0.571      39     77     87   0.607
#
