# GalaxyWater-CNN/3m5q_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   152    291 45.000 |  2.701  1.434  0.479      79    117    122   0.489
   152    400 42.500 |  1.493  0.863  0.468      83    127    137   0.507
   152    499 40.000 |  1.110  0.681  0.464      85    132    145   0.520
   152    599 37.500 |  0.869  0.612  0.464      85    133    146   0.529
   152    705 35.000 |  0.763  0.579  0.464      85    133    147   0.552
   152    836 32.500 |  0.759  0.576  0.464      85    134    147   0.549
   152    978 30.000 |  0.759  0.576  0.464      85    134    147   0.549
   152   1158 27.500 |  0.755  0.574  0.464      85    134    148   0.547
   152   1350 25.000 |  0.698  0.557  0.464      85    135    150   0.536
   152   1599 22.500 |  0.683  0.554  0.464      85    135    150   0.536
   152   1902 20.000 |  0.671  0.548  0.464      85    136    151   0.529
   152   2252 17.500 |  0.638  0.539  0.464      85    136    151   0.528
   152   2689 15.000 |  0.612  0.527  0.462      86    137    152   0.527
   152   3169 12.500 |  0.612  0.527  0.462      86    137    152   0.527
   152   3709 10.000 |  0.612  0.527  0.462      86    137    152   0.527
   152   4291  7.500 |  0.612  0.527  0.462      86    137    152   0.527
   152   4940  5.000 |  0.612  0.527  0.462      86    137    152   0.527
   152   5820  2.500 |  0.612  0.527  0.462      86    137    152   0.527
   152   6883  0.000 |  0.612  0.527  0.462      86    137    152   0.527
#
