# GalaxyWater-CNN/3noq_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    59    158 45.000 |  2.952  1.737  0.540      26     40     45   0.517
    59    228 42.500 |  2.069  1.307  0.540      26     41     46   0.518
    59    296 40.000 |  1.437  0.887  0.532      28     46     53   0.547
    59    363 37.500 |  1.035  0.669  0.494      30     51     57   0.541
    59    448 35.000 |  0.975  0.639  0.494      30     51     58   0.551
    59    541 32.500 |  0.866  0.619  0.494      30     51     58   0.550
    59    641 30.000 |  0.866  0.619  0.494      30     51     58   0.550
    59    757 27.500 |  0.866  0.619  0.494      30     51     58   0.550
    59    895 25.000 |  0.866  0.619  0.494      30     51     58   0.550
    59   1065 22.500 |  0.631  0.551  0.494      30     52     59   0.551
    59   1233 20.000 |  0.631  0.551  0.494      30     52     59   0.551
    59   1498 17.500 |  0.631  0.551  0.494      30     52     59   0.551
    59   1834 15.000 |  0.631  0.551  0.494      30     52     59   0.551
    59   2208 12.500 |  0.631  0.551  0.494      30     52     59   0.551
    59   2578 10.000 |  0.631  0.551  0.494      30     52     59   0.551
    59   2951  7.500 |  0.631  0.551  0.494      30     52     59   0.551
    59   3424  5.000 |  0.631  0.551  0.494      30     52     59   0.551
    59   4088  2.500 |  0.631  0.551  0.494      30     52     59   0.551
    59   4869  0.000 |  0.631  0.551  0.494      30     52     59   0.551
#
