# GalaxyWater-CNN/3ql9_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    54    103 45.000 |  3.221  1.845  0.531      23     37     40   0.522
    54    151 42.500 |  2.146  1.196  0.528      25     41     47   0.577
    54    189 40.000 |  1.805  1.015  0.528      25     43     49   0.580
    54    234 37.500 |  0.960  0.680  0.510      27     46     52   0.573
    54    289 35.000 |  0.960  0.680  0.510      27     46     52   0.573
    54    355 32.500 |  0.960  0.680  0.510      27     46     52   0.573
    54    412 30.000 |  0.717  0.611  0.510      27     46     53   0.611
    54    485 27.500 |  0.717  0.611  0.510      27     46     53   0.611
    54    568 25.000 |  0.717  0.611  0.510      27     46     53   0.611
    54    670 22.500 |  0.717  0.611  0.510      27     46     53   0.611
    54    817 20.000 |  0.717  0.611  0.510      27     46     53   0.611
    54    990 17.500 |  0.717  0.611  0.510      27     46     53   0.611
    54   1191 15.000 |  0.714  0.609  0.510      27     46     53   0.609
    54   1436 12.500 |  0.714  0.609  0.510      27     46     53   0.609
    54   1724 10.000 |  0.714  0.609  0.510      27     46     53   0.609
    54   2002  7.500 |  0.714  0.609  0.510      27     46     53   0.609
    54   2330  5.000 |  0.710  0.607  0.510      27     46     53   0.607
    54   2794  2.500 |  0.710  0.607  0.510      27     46     53   0.607
    54   3343  0.000 |  0.710  0.607  0.510      27     46     53   0.607
#
