# GalaxyWater-CNN/3rwn_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    58    108 45.000 |  3.744  2.328  0.651      18     35     36   0.589
    58    166 42.500 |  2.138  1.360  0.600      19     40     43   0.637
    58    220 40.000 |  1.791  1.143  0.589      21     42     45   0.623
    58    280 37.500 |  1.407  0.873  0.545      24     46     50   0.600
    58    340 35.000 |  1.275  0.794  0.545      24     47     53   0.583
    58    408 32.500 |  1.138  0.737  0.545      24     49     54   0.578
    58    484 30.000 |  0.989  0.677  0.545      24     51     56   0.564
    58    557 27.500 |  0.680  0.595  0.545      24     52     57   0.568
    58    656 25.000 |  0.680  0.595  0.545      24     52     57   0.568
    58    779 22.500 |  0.625  0.570  0.545      24     53     58   0.570
    58    932 20.000 |  0.625  0.570  0.545      24     53     58   0.570
    58   1136 17.500 |  0.625  0.570  0.545      24     53     58   0.570
    58   1360 15.000 |  0.625  0.570  0.545      24     53     58   0.570
    58   1627 12.500 |  0.625  0.570  0.545      24     53     58   0.570
    58   1925 10.000 |  0.625  0.570  0.545      24     53     58   0.570
    58   2250  7.500 |  0.625  0.570  0.545      24     53     58   0.570
    58   2631  5.000 |  0.625  0.570  0.545      24     53     58   0.570
    58   3116  2.500 |  0.625  0.570  0.545      24     53     58   0.570
    58   3809  0.000 |  0.625  0.570  0.545      24     53     58   0.570
#
