# GalaxyWater-CNN/3soj_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    41     94 45.000 |  3.570  2.224  0.756      14     25     29   0.618
    41    142 42.500 |  2.686  1.687  0.726      15     27     31   0.623
    41    171 40.000 |  2.300  1.386  0.641      16     30     34   0.619
    41    208 37.500 |  1.912  1.142  0.602      16     32     36   0.626
    41    259 35.000 |  1.418  0.935  0.561      17     33     37   0.622
    41    316 32.500 |  0.969  0.745  0.561      17     35     39   0.624
    41    372 30.000 |  0.902  0.703  0.561      17     36     40   0.624
    41    450 27.500 |  0.902  0.703  0.561      17     36     40   0.624
    41    530 25.000 |  0.704  0.641  0.561      17     36     41   0.641
    41    618 22.500 |  0.704  0.641  0.561      17     36     41   0.641
    41    730 20.000 |  0.704  0.641  0.561      17     36     41   0.641
    41    888 17.500 |  0.704  0.641  0.561      17     36     41   0.641
    41   1042 15.000 |  0.704  0.641  0.561      17     36     41   0.641
    41   1254 12.500 |  0.704  0.641  0.561      17     36     41   0.641
    41   1470 10.000 |  0.704  0.641  0.561      17     36     41   0.641
    41   1747  7.500 |  0.704  0.641  0.561      17     36     41   0.641
    41   2014  5.000 |  0.704  0.641  0.561      17     36     41   0.641
    41   2384  2.500 |  0.704  0.641  0.561      17     36     41   0.641
    41   2864  0.000 |  0.704  0.641  0.561      17     36     41   0.641
#
