# GalaxyWater-CNN/3vor_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    75    138 45.000 |  3.366  2.046  0.653      32     46     52   0.560
    75    191 42.500 |  2.198  1.271  0.522      36     54     61   0.577
    75    249 40.000 |  1.402  0.862  0.507      37     59     68   0.582
    75    308 37.500 |  1.133  0.745  0.494      38     61     71   0.569
    75    377 35.000 |  0.818  0.630  0.494      39     62     74   0.583
    75    453 32.500 |  0.818  0.630  0.494      39     62     74   0.583
    75    525 30.000 |  0.818  0.630  0.494      39     62     74   0.583
    75    623 27.500 |  0.742  0.613  0.494      39     62     74   0.583
    75    727 25.000 |  0.742  0.613  0.494      39     62     74   0.583
    75    863 22.500 |  0.740  0.612  0.494      39     62     74   0.583
    75   1038 20.000 |  0.669  0.582  0.494      39     63     75   0.582
    75   1253 17.500 |  0.669  0.582  0.494      39     63     75   0.582
    75   1482 15.000 |  0.669  0.582  0.494      39     63     75   0.582
    75   1756 12.500 |  0.669  0.582  0.494      39     63     75   0.582
    75   2048 10.000 |  0.669  0.582  0.494      39     63     75   0.582
    75   2370  7.500 |  0.669  0.582  0.494      39     63     75   0.582
    75   2755  5.000 |  0.669  0.582  0.494      39     63     75   0.582
    75   3246  2.500 |  0.669  0.582  0.494      39     63     75   0.582
    75   3905  0.000 |  0.669  0.582  0.494      39     63     75   0.582
#
