# GalaxyWater-CNN/4a02_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    65    131 45.000 |  2.305  1.353  0.516      29     46     51   0.515
    65    184 42.500 |  1.484  0.938  0.513      30     52     57   0.539
    65    229 40.000 |  0.886  0.654  0.502      32     57     62   0.540
    65    290 37.500 |  0.718  0.591  0.502      32     58     63   0.558
    65    346 35.000 |  0.673  0.577  0.502      32     58     63   0.577
    65    424 32.500 |  0.673  0.577  0.502      32     58     63   0.577
    65    494 30.000 |  0.640  0.559  0.502      32     59     64   0.559
    65    585 27.500 |  0.631  0.555  0.502      32     59     65   0.555
    65    682 25.000 |  0.631  0.555  0.502      32     59     65   0.555
    65    801 22.500 |  0.631  0.555  0.502      32     59     65   0.555
    65    958 20.000 |  0.631  0.555  0.502      32     59     65   0.555
    65   1147 17.500 |  0.631  0.555  0.502      32     59     65   0.555
    65   1361 15.000 |  0.631  0.555  0.502      32     59     65   0.555
    65   1609 12.500 |  0.631  0.555  0.502      32     59     65   0.555
    65   1909 10.000 |  0.631  0.555  0.502      32     59     65   0.555
    65   2210  7.500 |  0.631  0.555  0.502      32     59     65   0.555
    65   2529  5.000 |  0.631  0.555  0.502      32     59     65   0.555
    65   3008  2.500 |  0.631  0.555  0.502      32     59     65   0.555
    65   3599  0.000 |  0.631  0.555  0.502      32     59     65   0.555
#
