# GalaxyWater-CNN/4psy_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    69    140 45.000 |  2.675  1.781  0.779      19     42     46   0.637
    69    201 42.500 |  1.695  1.135  0.668      22     49     55   0.653
    69    253 40.000 |  1.594  1.055  0.663      22     50     57   0.678
    69    315 37.500 |  1.341  0.935  0.661      22     51     59   0.679
    69    386 35.000 |  0.797  0.688  0.580      23     56     65   0.665
    69    456 32.500 |  0.730  0.649  0.566      24     57     67   0.649
    69    533 30.000 |  0.720  0.643  0.566      24     57     68   0.643
    69    628 27.500 |  0.717  0.642  0.566      24     57     69   0.642
    69    739 25.000 |  0.717  0.642  0.566      24     57     69   0.642
    69    874 22.500 |  0.717  0.642  0.566      24     57     69   0.642
    69   1039 20.000 |  0.717  0.642  0.566      24     57     69   0.642
    69   1270 17.500 |  0.717  0.642  0.566      24     57     69   0.642
    69   1508 15.000 |  0.717  0.642  0.566      24     57     69   0.642
    69   1765 12.500 |  0.717  0.642  0.566      24     57     69   0.642
    69   2049 10.000 |  0.717  0.642  0.566      24     57     69   0.642
    69   2386  7.500 |  0.717  0.642  0.566      24     57     69   0.642
    69   2731  5.000 |  0.717  0.642  0.566      24     57     69   0.642
    69   3240  2.500 |  0.717  0.642  0.566      24     57     69   0.642
    69   3850  0.000 |  0.717  0.642  0.566      24     57     69   0.642
#
