# GalaxyWater-CNN/4u9h_S.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   101    192 45.000 |  3.002  1.769  0.585      44     68     73   0.553
   101    278 42.500 |  2.152  1.271  0.508      48     74     79   0.578
   101    367 40.000 |  1.754  1.034  0.492      51     79     85   0.549
   101    452 37.500 |  1.275  0.824  0.489      52     81     88   0.580
   101    518 35.000 |  1.160  0.766  0.489      52     83     90   0.583
   101    630 32.500 |  0.900  0.669  0.489      52     85     94   0.573
   101    739 30.000 |  0.811  0.621  0.482      53     87     96   0.568
   101    866 27.500 |  0.811  0.621  0.482      53     87     96   0.568
   101   1026 25.000 |  0.792  0.609  0.482      53     88     98   0.556
   101   1233 22.500 |  0.626  0.548  0.482      53     91    101   0.548
   101   1468 20.000 |  0.626  0.548  0.482      53     91    101   0.548
   101   1782 17.500 |  0.626  0.548  0.482      53     91    101   0.548
   101   2137 15.000 |  0.626  0.548  0.482      53     91    101   0.548
   101   2574 12.500 |  0.626  0.548  0.482      53     91    101   0.548
   101   3035 10.000 |  0.626  0.548  0.482      53     91    101   0.548
   101   3547  7.500 |  0.626  0.548  0.482      53     91    101   0.548
   101   4151  5.000 |  0.626  0.548  0.482      53     91    101   0.548
   101   4918  2.500 |  0.626  0.548  0.482      53     91    101   0.548
   101   5877  0.000 |  0.626  0.548  0.482      53     91    101   0.548
#
