# GalaxyWater-CNN/7a3h_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   129    214 45.000 |  2.676  1.539  0.516      62     92    100   0.508
   129    290 42.500 |  1.810  1.061  0.507      63     99    107   0.552
   129    394 40.000 |  1.233  0.786  0.507      63    105    115   0.565
   129    477 37.500 |  0.980  0.682  0.506      64    109    120   0.539
   129    569 35.000 |  0.925  0.658  0.506      64    110    121   0.550
   129    663 32.500 |  0.816  0.616  0.506      64    111    123   0.557
   129    782 30.000 |  0.791  0.602  0.506      64    112    125   0.555
   129    916 27.500 |  0.700  0.574  0.488      65    113    126   0.555
   129   1069 25.000 |  0.687  0.567  0.488      65    114    127   0.548
   129   1271 22.500 |  0.657  0.560  0.488      65    114    127   0.548
   129   1515 20.000 |  0.657  0.560  0.488      65    114    127   0.548
   129   1783 17.500 |  0.632  0.547  0.486      66    115    128   0.547
   129   2117 15.000 |  0.632  0.547  0.486      66    115    128   0.547
   129   2518 12.500 |  0.632  0.547  0.486      66    115    128   0.547
   129   2934 10.000 |  0.632  0.547  0.486      66    115    128   0.547
   129   3393  7.500 |  0.632  0.547  0.486      66    115    128   0.547
   129   3925  5.000 |  0.632  0.547  0.486      66    115    128   0.547
   129   4639  2.500 |  0.632  0.547  0.486      66    115    128   0.547
   129   5548  0.000 |  0.632  0.547  0.486      66    115    128   0.547
#
