# watGNN/1g66_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    71     32 95.000 |  7.630  6.099 10.000      25     26     26   0.256
    71     51 90.000 |  6.198  4.366  1.246      32     35     36   0.299
    71     72 85.000 |  6.680  3.805  0.460      38     41     42   0.310
    71     91 80.000 |  4.798  2.748  0.452      39     43     44   0.314
    71    109 75.000 |  3.487  2.000  0.413      41     45     47   0.386
    71    137 70.000 |  2.437  1.400  0.397      44     48     52   0.420
    71    155 65.000 |  2.296  1.326  0.397      44     48     53   0.437
    71    186 60.000 |  1.847  1.041  0.363      46     52     58   0.452
    71    220 55.000 |  1.581  0.930  0.363      46     53     59   0.460
    71    246 50.000 |  1.392  0.828  0.363      47     54     61   0.475
    71    276 45.000 |  1.227  0.750  0.363      47     55     63   0.493
    71    319 40.000 |  0.945  0.619  0.352      49     57     66   0.501
    71    356 35.000 |  0.916  0.599  0.352      49     58     67   0.481
    71    401 30.000 |  0.718  0.527  0.352      49     59     69   0.493
    71    440 25.000 |  0.709  0.523  0.352      49     59     70   0.489
    71    484 20.000 |  0.624  0.490  0.352      49     60     71   0.490
    71    528 15.000 |  0.620  0.488  0.352      49     60     71   0.488
    71    562 10.000 |  0.620  0.488  0.352      49     60     71   0.488
    71    597  5.000 |  0.617  0.487  0.352      49     60     71   0.487
    71    774  0.000 |  0.611  0.484  0.352      49     60     71   0.484
#
