# watGNN/1i1w_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   127     62 95.000 |  7.325  5.664 10.000      44     49     50   0.320
   127     94 90.000 |  5.968  4.112  1.005      57     63     64   0.309
   127    122 85.000 |  7.665  3.942  0.419      69     77     78   0.293
   127    149 80.000 |  4.266  2.388  0.321      73     83     84   0.300
   127    192 75.000 |  2.762  1.420  0.293      82     94     98   0.347
   127    224 70.000 |  2.322  1.207  0.293      83     97    101   0.354
   127    255 65.000 |  2.054  1.055  0.293      84    100    104   0.359
   127    294 60.000 |  1.911  0.966  0.286      85    102    106   0.362
   127    322 55.000 |  1.880  0.940  0.286      85    103    107   0.366
   127    348 50.000 |  1.627  0.809  0.286      86    106    110   0.371
   127    395 45.000 |  1.399  0.680  0.286      87    110    114   0.393
   127    444 40.000 |  1.326  0.650  0.286      87    110    114   0.405
   127    493 35.000 |  1.168  0.603  0.286      87    110    115   0.414
   127    550 30.000 |  1.124  0.575  0.286      88    112    117   0.405
   127    620 25.000 |  1.074  0.550  0.286      88    112    119   0.405
   127    686 20.000 |  0.995  0.534  0.286      88    112    120   0.412
   127    755 15.000 |  0.965  0.518  0.286      88    113    121   0.415
   127    817 10.000 |  0.710  0.473  0.286      88    113    121   0.428
   127    874  5.000 |  0.710  0.473  0.286      88    113    121   0.428
   127   1188  0.000 |  0.621  0.444  0.286      89    114    123   0.410
#
