# watGNN/1m40_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   116     36 95.000 |  8.482  7.449 10.000      21     25     26   0.351
   116     69 90.000 |  7.226  5.564  7.796      38     45     48   0.381
   116     98 85.000 |  6.067  4.007  0.883      51     61     64   0.393
   116    113 80.000 |  6.614  3.781  0.586      55     66     69   0.396
   116    135 75.000 |  4.425  2.502  0.480      59     74     78   0.404
   116    164 70.000 |  3.544  1.923  0.446      63     79     86   0.428
   116    192 65.000 |  2.731  1.485  0.413      66     83     91   0.451
   116    230 60.000 |  2.376  1.274  0.413      69     86     94   0.468
   116    261 55.000 |  1.937  1.023  0.408      71     91     99   0.474
   116    289 50.000 |  1.913  1.012  0.408      71     91     99   0.474
   116    330 45.000 |  1.701  0.933  0.408      71     91    100   0.482
   116    383 40.000 |  1.262  0.748  0.389      73     94    105   0.505
   116    418 35.000 |  1.053  0.648  0.376      75     97    108   0.504
   116    479 30.000 |  0.918  0.610  0.376      75     97    109   0.507
   116    536 25.000 |  0.852  0.580  0.376      76     98    111   0.505
   116    613 20.000 |  0.759  0.556  0.376      76     98    111   0.516
   116    684 15.000 |  0.684  0.533  0.376      76     99    112   0.520
   116    761 10.000 |  0.684  0.533  0.376      76     99    112   0.520
   116    830  5.000 |  0.684  0.533  0.376      76     99    112   0.520
   116   1117  0.000 |  0.659  0.518  0.376      77    101    113   0.505
#
