# watGNN/1nwz_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    40     10 95.000 |  8.778  7.929 10.000       6      6      7   0.399
    40     25 90.000 |  7.069  5.488  7.702      14     15     16   0.370
    40     32 85.000 |  6.415  4.629  2.136      15     18     20   0.440
    40     41 80.000 |  7.609  4.584  1.049      16     20     22   0.496
    40     56 75.000 |  4.477  2.803  0.818      16     21     23   0.500
    40     68 70.000 |  3.184  2.085  0.711      17     22     24   0.488
    40     85 65.000 |  2.673  1.729  0.607      18     24     26   0.482
    40     93 60.000 |  2.309  1.433  0.475      20     26     28   0.464
    40    104 55.000 |  2.309  1.433  0.475      20     26     28   0.464
    40    115 50.000 |  2.308  1.432  0.475      20     26     28   0.464
    40    130 45.000 |  2.147  1.306  0.475      20     27     29   0.527
    40    151 40.000 |  1.717  1.118  0.475      20     28     30   0.530
    40    171 35.000 |  1.489  0.989  0.475      20     29     31   0.539
    40    207 30.000 |  1.316  0.915  0.475      20     29     31   0.539
    40    259 25.000 |  1.076  0.773  0.420      21     31     33   0.575
    40    305 20.000 |  0.978  0.719  0.420      21     32     34   0.581
    40    343 15.000 |  0.978  0.719  0.420      21     32     34   0.581
    40    406 10.000 |  0.874  0.658  0.420      21     33     36   0.569
    40    451  5.000 |  0.776  0.608  0.420      21     34     37   0.568
    40    588  0.000 |  0.612  0.515  0.403      22     37     39   0.515
#
