# watGNN/1tt8_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    70     28 95.000 |  7.893  6.374 10.000      21     25     25   0.248
    70     39 90.000 |  6.986  5.100  3.850      28     33     33   0.268
    70     50 85.000 |  6.566  4.506  0.844      31     36     36   0.278
    70     63 80.000 |  6.034  3.819  0.666      32     40     40   0.327
    70     72 75.000 |  6.977  4.020  0.657      32     42     42   0.352
    70     95 70.000 |  4.450  2.237  0.408      38     51     52   0.369
    70    106 65.000 |  3.964  1.947  0.408      38     51     53   0.386
    70    121 60.000 |  3.520  1.726  0.408      38     52     54   0.390
    70    146 55.000 |  2.421  1.251  0.405      40     54     56   0.391
    70    168 50.000 |  1.335  0.761  0.405      40     59     62   0.426
    70    192 45.000 |  1.304  0.741  0.405      40     59     63   0.439
    70    228 40.000 |  0.961  0.595  0.405      41     61     66   0.471
    70    247 35.000 |  0.783  0.558  0.405      41     61     66   0.471
    70    289 30.000 |  0.675  0.516  0.405      41     62     67   0.516
    70    325 25.000 |  0.675  0.516  0.405      41     62     67   0.516
    70    376 20.000 |  0.675  0.516  0.405      41     62     67   0.516
    70    426 15.000 |  0.675  0.516  0.405      41     62     67   0.516
    70    489 10.000 |  0.675  0.516  0.405      41     62     67   0.516
    70    547  5.000 |  0.675  0.516  0.405      41     62     67   0.516
    70    738  0.000 |  0.612  0.488  0.405      41     63     70   0.488
#
