# watGNN/2jfr_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    80     35 95.000 |  7.597  5.970 10.000      28     31     31   0.259
    80     56 90.000 |  6.624  4.674  3.083      32     37     37   0.278
    80     76 85.000 |  7.485  4.046  0.537      40     49     49   0.349
    80     96 80.000 |  5.404  2.819  0.463      43     53     55   0.363
    80    115 75.000 |  3.376  1.759  0.356      47     58     62   0.394
    80    136 70.000 |  2.207  1.141  0.333      49     62     66   0.426
    80    167 65.000 |  1.541  0.857  0.322      50     65     69   0.435
    80    196 60.000 |  1.300  0.724  0.322      50     68     72   0.460
    80    219 55.000 |  1.246  0.700  0.322      50     68     73   0.471
    80    252 50.000 |  0.963  0.616  0.322      51     69     74   0.453
    80    291 45.000 |  0.928  0.597  0.322      51     70     75   0.459
    80    327 40.000 |  0.919  0.595  0.322      51     70     75   0.459
    80    363 35.000 |  0.847  0.568  0.322      51     70     76   0.470
    80    416 30.000 |  0.847  0.568  0.322      51     70     76   0.470
    80    485 25.000 |  0.847  0.568  0.322      51     70     76   0.470
    80    557 20.000 |  0.732  0.534  0.322      51     70     77   0.481
    80    624 15.000 |  0.732  0.534  0.322      51     70     77   0.481
    80    695 10.000 |  0.732  0.534  0.322      51     70     77   0.481
    80    759  5.000 |  0.732  0.534  0.322      51     70     77   0.481
    80    991  0.000 |  0.690  0.519  0.322      51     71     77   0.494
#
