# watGNN/2pnd_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    59     16 95.000 |  8.595  7.527 10.000      11     14     14   0.289
    59     28 90.000 |  7.522  6.051 10.000      15     20     21   0.390
    59     41 85.000 |  6.484  4.762  4.392      19     27     28   0.397
    59     50 80.000 |  6.426  4.366  1.440      20     28     30   0.416
    59     61 75.000 |  9.112  5.405  1.032      21     29     31   0.416
    59     70 70.000 |  6.442  3.888  0.713      23     32     34   0.414
    59     79 65.000 |  5.229  3.033  0.661      25     35     37   0.415
    59     91 60.000 |  4.090  2.162  0.465      30     40     43   0.413
    59    103 55.000 |  3.822  2.009  0.465      30     40     43   0.447
    59    115 50.000 |  3.088  1.615  0.465      30     41     46   0.483
    59    135 45.000 |  2.068  1.131  0.465      30     44     49   0.520
    59    157 40.000 |  1.967  1.079  0.465      30     44     49   0.520
    59    180 35.000 |  1.863  1.024  0.465      30     44     50   0.532
    59    215 30.000 |  1.500  0.839  0.465      30     45     52   0.549
    59    251 25.000 |  1.240  0.736  0.465      30     45     54   0.596
    59    300 20.000 |  1.240  0.736  0.465      30     45     54   0.596
    59    368 15.000 |  0.818  0.639  0.465      30     45     54   0.639
    59    423 10.000 |  0.818  0.639  0.465      30     45     54   0.639
    59    498  5.000 |  0.818  0.639  0.465      30     45     54   0.639
    59    658  0.000 |  0.794  0.628  0.465      30     45     54   0.628
#
