# watGNN/2xu3_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   102     37 95.000 |  8.163  6.828 10.000      28     31     32   0.321
   102     52 90.000 |  7.357  5.701 10.000      35     38     40   0.357
   102     73 85.000 |  6.198  4.263  1.112      45     50     52   0.354
   102    102 80.000 |  8.387  4.435  0.604      47     55     59   0.441
   102    128 75.000 |  4.809  2.762  0.503      50     60     64   0.445
   102    146 70.000 |  3.854  2.252  0.503      50     61     65   0.448
   102    166 65.000 |  3.282  1.927  0.451      53     64     69   0.454
   102    191 60.000 |  2.701  1.574  0.444      55     66     72   0.477
   102    221 55.000 |  2.505  1.463  0.444      55     67     74   0.492
   102    244 50.000 |  2.371  1.386  0.437      56     68     75   0.492
   102    284 45.000 |  2.039  1.176  0.422      59     71     78   0.468
   102    316 40.000 |  1.749  1.015  0.422      59     74     82   0.486
   102    347 35.000 |  1.703  0.991  0.422      59     74     83   0.492
   102    383 30.000 |  1.437  0.879  0.422      59     74     84   0.499
   102    459 25.000 |  1.382  0.847  0.422      59     75     85   0.501
   102    523 20.000 |  1.238  0.768  0.419      60     77     87   0.512
   102    595 15.000 |  1.151  0.723  0.419      61     79     89   0.516
   102    665 10.000 |  1.089  0.710  0.419      61     79     89   0.516
   102    729  5.000 |  0.994  0.678  0.419      61     79     89   0.528
   102    951  0.000 |  0.842  0.608  0.419      61     82     91   0.559
#
