# watGNN/3d1p_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    58     18 95.000 |  8.311  6.987 10.000      16     17     17   0.179
    58     34 90.000 |  7.373  5.479  5.242      23     25     25   0.231
    58     53 85.000 |  9.295  5.539  0.838      26     31     31   0.325
    58     62 80.000 |  9.277  5.175  0.583      28     34     34   0.334
    58     70 75.000 |  6.732  3.743  0.583      28     35     35   0.351
    58     86 70.000 |  5.418  3.026  0.497      29     36     36   0.348
    58    101 65.000 |  3.823  2.167  0.430      30     39     39   0.366
    58    117 60.000 |  3.155  1.892  0.430      30     39     39   0.366
    58    133 55.000 |  2.817  1.594  0.371      32     42     42   0.366
    58    144 50.000 |  2.481  1.397  0.347      33     44     44   0.370
    58    166 45.000 |  2.147  1.222  0.347      33     45     45   0.377
    58    181 40.000 |  2.130  1.212  0.347      33     45     45   0.377
    58    204 35.000 |  1.957  1.099  0.347      33     46     47   0.402
    58    225 30.000 |  1.512  0.858  0.329      34     47     49   0.444
    58    273 25.000 |  1.205  0.695  0.329      34     49     52   0.494
    58    310 20.000 |  0.725  0.538  0.329      34     50     54   0.538
    58    362 15.000 |  0.725  0.538  0.329      34     50     54   0.538
    58    403 10.000 |  0.725  0.538  0.329      34     50     54   0.538
    58    442  5.000 |  0.725  0.538  0.329      34     50     54   0.538
    58    545  0.000 |  0.701  0.526  0.329      34     50     55   0.526
#
