# watGNN/3f1l_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    87     29 95.000 |  8.236  6.924 10.000      22     25     26   0.269
    87     45 90.000 |  7.458  5.806  8.939      29     33     35   0.321
    87     64 85.000 |  6.746  4.803  3.049      30     40     42   0.369
    87     85 80.000 |  9.865  5.299  0.840      35     46     49   0.384
    87    106 75.000 |  6.173  3.527  0.664      39     50     53   0.405
    87    135 70.000 |  3.813  2.065  0.485      44     57     61   0.470
    87    160 65.000 |  3.259  1.754  0.474      45     58     62   0.487
    87    179 60.000 |  2.911  1.625  0.474      45     58     62   0.487
    87    198 55.000 |  2.539  1.422  0.474      45     60     64   0.492
    87    235 50.000 |  2.397  1.329  0.474      45     60     65   0.499
    87    266 45.000 |  2.174  1.166  0.474      46     63     69   0.502
    87    309 40.000 |  1.812  1.028  0.474      46     65     72   0.498
    87    346 35.000 |  1.649  0.945  0.474      46     66     73   0.501
    87    394 30.000 |  1.517  0.878  0.474      46     67     74   0.503
    87    462 25.000 |  1.155  0.740  0.474      46     68     76   0.533
    87    535 20.000 |  0.997  0.692  0.474      46     69     78   0.536
    87    615 15.000 |  0.988  0.685  0.474      46     70     79   0.528
    87    709 10.000 |  0.870  0.644  0.474      46     70     80   0.536
    87    821  5.000 |  0.762  0.596  0.474      46     71     83   0.558
    87   1090  0.000 |  0.762  0.596  0.474      46     71     83   0.558
#
