# watGNN/3ip0_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    65     21 95.000 |  8.424  7.426 10.000      10     13     13   0.278
    65     29 90.000 |  7.847  6.660 10.000      12     15     16   0.434
    65     54 85.000 |  6.166  4.241  2.803      23     28     29   0.428
    65     69 80.000 |  6.100  3.621  0.662      29     34     35   0.408
    65     91 75.000 |  4.406  2.633  0.516      32     38     40   0.431
    65    104 70.000 |  3.667  2.067  0.426      34     41     43   0.434
    65    127 65.000 |  2.823  1.573  0.426      35     42     45   0.480
    65    151 60.000 |  2.202  1.337  0.425      36     44     47   0.487
    65    166 55.000 |  2.067  1.236  0.425      36     45     48   0.543
    65    182 50.000 |  1.869  1.119  0.425      36     46     49   0.543
    65    201 45.000 |  1.767  1.073  0.425      36     46     49   0.543
    65    230 40.000 |  1.648  1.017  0.425      36     46     51   0.547
    65    255 35.000 |  1.575  0.974  0.425      36     47     52   0.546
    65    289 30.000 |  1.202  0.800  0.425      36     49     54   0.570
    65    337 25.000 |  1.137  0.764  0.425      36     50     55   0.576
    65    388 20.000 |  1.110  0.748  0.425      36     51     56   0.562
    65    455 15.000 |  1.083  0.729  0.425      36     52     57   0.568
    65    509 10.000 |  1.076  0.727  0.425      36     52     57   0.568
    65    562  5.000 |  0.973  0.684  0.425      36     52     58   0.601
    65    723  0.000 |  0.816  0.632  0.425      36     52     59   0.607
#
