# watGNN/3ks3_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   130     46 95.000 |  8.117  6.788 10.000      34     39     39   0.257
   130     68 90.000 |  7.127  5.427  6.412      47     53     53   0.299
   130     89 85.000 |  6.602  4.717  2.799      54     62     62   0.303
   130    115 80.000 |  7.296  4.629  0.659      57     68     69   0.335
   130    140 75.000 |  7.944  4.224  0.522      64     78     79   0.369
   130    165 70.000 |  5.553  2.921  0.505      65     83     85   0.403
   130    193 65.000 |  3.722  2.018  0.505      65     85     90   0.435
   130    217 60.000 |  2.818  1.562  0.504      65     89     95   0.473
   130    252 55.000 |  2.500  1.397  0.479      66     91     98   0.480
   130    283 50.000 |  2.286  1.272  0.479      66     93    100   0.487
   130    317 45.000 |  2.063  1.148  0.455      67     95    102   0.496
   130    364 40.000 |  1.819  1.062  0.455      67     95    102   0.496
   130    405 35.000 |  1.739  1.022  0.455      67     95    103   0.501
   130    461 30.000 |  1.445  0.853  0.455      68     98    109   0.521
   130    539 25.000 |  1.311  0.794  0.442      69     99    111   0.539
   130    589 20.000 |  1.098  0.715  0.431      71    101    113   0.537
   130    673 15.000 |  0.975  0.660  0.420      72    102    116   0.534
   130    766 10.000 |  0.826  0.610  0.420      72    102    119   0.552
   130    842  5.000 |  0.826  0.610  0.420      72    102    119   0.552
   130   1115  0.000 |  0.770  0.581  0.420      72    104    123   0.537
#
