# watGNN/3qpa_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    73     31 95.000 |  7.905  6.489 10.000      22     24     24   0.237
    73     51 90.000 |  7.053  5.222  5.276      27     32     32   0.294
    73     73 85.000 | 11.115  6.060  0.939      30     39     39   0.350
    73     91 80.000 |  6.391  3.638  0.644      34     44     45   0.373
    73    112 75.000 |  4.891  2.708  0.468      37     48     50   0.394
    73    130 70.000 |  4.473  2.454  0.468      37     49     51   0.400
    73    154 65.000 |  3.720  1.973  0.460      39     51     53   0.390
    73    184 60.000 |  2.775  1.505  0.431      41     54     56   0.393
    73    211 55.000 |  2.268  1.235  0.431      41     55     58   0.410
    73    234 50.000 |  2.232  1.191  0.431      41     56     60   0.428
    73    267 45.000 |  1.828  0.996  0.431      42     58     62   0.452
    73    301 40.000 |  1.186  0.715  0.406      43     61     67   0.456
    73    334 35.000 |  1.032  0.659  0.406      43     61     68   0.466
    73    365 30.000 |  1.010  0.648  0.406      43     61     68   0.482
    73    409 25.000 |  0.873  0.599  0.406      43     61     69   0.490
    73    447 20.000 |  0.777  0.560  0.406      43     62     70   0.491
    73    491 15.000 |  0.688  0.529  0.406      43     62     71   0.498
    73    544 10.000 |  0.688  0.529  0.406      43     62     71   0.498
    73    579  5.000 |  0.688  0.529  0.406      43     62     71   0.498
    73    789  0.000 |  0.654  0.516  0.406      43     63     72   0.490
#
